,Description,NZSIOC,Direct Loss,Indirect Loss,Total Loss
0,Horticulture and fruit growing,AA111,4.5060954429778715,4.438034927846344,8.944130370824215
1,Dairy cattle farming,AA131,0.12808023222934517,8.40909850844776,8.537178740677106
2,Forestry and logging,AA211,0.15136754718013523,3.257716680424423,3.4090842276045583
3,Coal mining,BB111,0.052396458639277575,0.5328050303028599,0.5852014889421374
4,Oil and gas extraction,BB112,0.20376400581941279,3.7302738431204707,3.9340378489398837
5,Metal ore and non-metallic mineral mining and quarrying,BB113,0.3493097242618505,1.1143808878632049,1.4636906121250552
6,Exploration and other mining support services,BB114,0.017465486213092525,0.8737678291078987,0.8912333153209913
7,Meat and meat product manufacturing,CC111,13.634722903687564,4.0265259110508325,17.661248814738396
8,Seafood processing,CC121,1.4321698694735872,0.5886049261040747,2.020774795577662
9,Dairy product manufacturing,CC131,10.403607954265448,3.3358591189875852,13.739467073253033
10,Beverage and tobacco product manufacturing,CC151,12.400495211295693,3.1612254540807925,15.561720665376486
11,Textile and leather manufacturing,CC211,0.9023834543431138,1.674259968457993,2.576643422801107
12,Wood product manufacturing,CC311,0.8965616256054163,5.3081453729395935,6.20470699854501
13,Printing,CC411,0.3493097242618505,4.5172968189267415,4.866606543188592
14,Petroleum and coal product manufacturing,CC511,11.33510055229705,8.574194555698533,19.909295107995582
15,Basic chemical and basic polymer manufacturing,CC521,0.686975791048306,1.3651247995551423,2.052100590603448
16,Fertiliser and pesticide manufacturing,CC522,0.44828081280270815,1.897983752407256,2.3462645652099643
17,Polymer product and rubber product manufacturing,CC531,1.7349049638338574,5.188849495558519,6.923754459392376
18,Non-metallic mineral product manufacturing,CC611,1.385595239572007,3.806317220442022,5.191912460014029
19,Primary metal and metal product manufacturing,CC711,0.12808023222934517,3.7810916586209724,3.9091718908503177
20,Fabricated metal product manufacturing,CC721,1.4030607257850995,10.432087379639615,11.835148105424715
21,Transport equipment manufacturing,CC811,6.206069434385544,4.948667636219419,11.154737070604963
22,Electronic and electrical equipment manufacturing,CC821,2.4742772135214413,2.010013839477107,4.4842910529985485
23,Machinery manufacturing,CC822,1.1177911176379216,1.7834529456847723,2.901244063322694
24,Furniture manufacturing,CC911,3.3009768942744873,1.1812430945782322,4.482219988852719
25,Other manufacturing,CC912,1.4729226706374696,0.6046711253432049,2.0775937959806745
26,Electricity generation and on-selling,DD111,15.270656778980564,31.37583097175765,46.64648775073822
27,Electricity transmission and distribution,DD112,5.431766212271775,11.638396031824662,17.070162244096437
28,Sewerage and drainage services,DD122,2.526673672160719,1.5031126512047006,4.029786323365419
29,Residential building construction,EE112,0.5763610450320533,9.544013800389243,10.120374845421296
30,Non-residential building construction,EE113,0.3493097242618505,10.560679653726554,10.909989377988405
31,Heavy and civil engineering construction,EE121,4.325618752109249,6.813862101767037,11.139480853876286
32,Construction services,EE131,2.7304376779801314,34.92943793701689,37.65987561499703
33,Basic material wholesaling,FF111,9.559442787299309,8.3019589961901,17.86140178348941
34,Machinery and equipment wholesaling,FF112,10.112516517380572,9.883170865408106,19.995687382788677
35,Fuel retailing,GH112,3.2544022643729074,0.3756826683698349,3.6300849327427422
36,Supermarket and grocery stores,GH121,21.441795240939925,1.8360639548464803,23.277859195786405
37,Specialised food retailing,GH122,4.721503106272679,0.3446963032169581,5.066199409489637
38,Department stores,GH133,9.565264616037005,0.7127150701079277,10.277979686144933
39,Pharmaceutical and other store based retailing,GH134,10.88681973949434,2.0721753011438437,12.958995040638184
40,Non-store and commission based retailing,GH135,3.3708388391268573,0.488121410609625,3.8589602497364823
41,Accommodation,GH211,9.402253411381476,1.7402587224846862,11.142512133866163
42,Food and beverage services,GH212,42.90105596809294,3.798832958368294,46.699888926461234
43,Road transport,II111,7.684813933760711,17.396630349702605,25.081444283463316
44,Rail transport,II121,0.9431362555069963,1.0190676958597122,1.9622039513667087
45,Water transport,II122,1.2575150073426618,0.9062341140189223,2.163749121361584
46,Air and space transport,II123,12.755626764295242,3.839332831337339,16.59495959563258
47,Other transport,II125,1.1760094050148966,1.3660347989069817,2.5420442039218782
48,Transport support services,II132,9.297460494102921,11.292714210089649,20.59017470419257
49,Warehousing and storage services,II133,0.2212294920325053,3.1166725079675555,3.337902000000061
50,Publishing (except internet and music publishing),JJ111,1.1177911176379216,3.036416457631334,4.154207575269256
51,Motion picture and sound recording activities,JJ112,1.72908313509616,2.276150211968562,4.005233347064722
52,Broadcasting and internet publishing,JJ113,3.912268911732726,2.754051939676195,6.666320851408921
53,Telecommunications services,JJ121,16.24290217817605,12.411457078241224,28.654359256417273
54,"Internet service providers, web search portals and data processing services",JJ122,1.4496353556866797,3.1796112068216127,4.629246562508293
55,Library and other information services,JJ123,1.956134455866363,0.13102618886148765,2.0871606447278506
56,Life insurance,KK121,10.589906473871768,0.2613487915146173,10.851255265386385
57,Health and general insurance,KK122,10.00190177136432,17.88516258019209,27.88706435155641
58,Auxiliary finance and insurance services,KK131,1.65922119024379,25.729075340446023,27.388296530689814
59,Rental and hiring services (except real estate),LL111,3.3591951816514625,10.920585187559762,14.279780369211224
60,Non-financial asset leasing,LL112,0.04657462990158007,3.89053055755442,3.937105187456
61,Residential property operation,LL121,71.9578031979412,0.13392747749080058,72.091730675432
62,Non-residential property operation,LL122,2.212294920325053,48.09330447714001,50.30559939746506
63,Real estate services,LL123,0.38424069668803557,6.7687321957915625,7.152972892479598
64,Legal and accounting services,MN112,3.6852175909625227,19.326158293435373,23.011375884397896
65,Veterinary and other professional services,MN114,2.8643397389471743,1.4554586279419852,4.3197983668891595
66,Computer system design and related services,MN115,3.59789015989706,17.82265565702388,21.42054581692094
67,Travel agency and tour arrangement services,MN211,2.002709085767943,1.7272808583915094,3.729989944159452
68,Employment and other administrative services,MN212,4.249934978519181,20.441348965594443,24.691283944113625
69,Defence,OO212,13.64636656116296,0.23696111549078047,13.88332767665374
70,Preschool education,PP111,9.367322438955291,0.8149063682645092,10.1822288072198
71,School education,PP112,46.58045173031776,0.8540284800180586,47.43448021033582
72,Tertiary education,PP113,21.203100262694324,2.899228524462,24.102328787156324
73,Hospitals,QQ111,73.22114003402156,0.6373751949112147,73.85851522893277
