Unnamed: 0,household_demand_retained_share
Horticulture and fruit growing,0.9880094949440863
"Sheep, beef cattle, and grain farming",0.9880094949440863
Dairy cattle farming,0.9880094949440863
"Poultry, deer, and other livestock farming",0.9880094949440863
Forestry and logging,0.9880094949440863
Fishing and aquaculture,0.9880094949440863
"Agriculture, forestry, and fishing support services",0.9880094949440863
Coal mining,0.9880094949440863
Oil and gas extraction,0.9880094949440863
Metal ore and non-metallic mineral mining and quarrying,0.9880094949440863
Exploration and other mining support services,0.9880094949440863
Meat and meat product manufacturing,0.9880094949440863
Seafood processing,0.9880094949440863
Dairy product manufacturing,0.9880094949440863
"Fruit, oil, cereal, and other food product manufacturing",0.9880094949440863
Beverage and tobacco product manufacturing,0.9880094949440863
Textile and leather manufacturing,0.9880094949440863
"Clothing, knitted products, and footwear manufacturing",0.9880094949440863
Wood product manufacturing,0.9880094949440863
"Pulp, paper, and converted paper product manufacturing",0.9880094949440863
Printing,0.9880094949440863
Petroleum and coal product manufacturing,0.9880094949440863
Basic chemical and basic polymer manufacturing,0.9880094949440863
Fertiliser and pesticide manufacturing,0.9880094949440863
"Pharmaceutical, cleaning, and other chemical manufacturing",0.9880094949440863
Polymer product and rubber product manufacturing,0.9880094949440863
Non-metallic mineral product manufacturing,0.9880094949440863
Primary metal and metal product manufacturing,0.9880094949440863
Fabricated metal product manufacturing,0.9880094949440863
Transport equipment manufacturing,0.9880094949440863
Electronic and electrical equipment manufacturing,0.9880094949440863
Machinery manufacturing,0.9880094949440863
Furniture manufacturing,0.9880094949440863
Other manufacturing,0.9880094949440863
Electricity generation and on-selling,0.9880094949440863
Electricity transmission and distribution,0.9880094949440863
Gas and water supply,0.9880094949440863
Sewerage and drainage services,0.9880094949440863
"Waste collection, treatment, and disposal services",0.9880094949440863
Residential building construction,0.9880094949440863
Non-residential building construction,0.9880094949440863
Heavy and civil engineering construction,0.9880094949440863
Construction services,0.9880094949440863
Basic material wholesaling,0.9880094949440863
Machinery and equipment wholesaling,0.9880094949440863
"Motor vehicle wholesaling, including parts",0.9880094949440863
"Grocery, liquor, and tobacco product wholesaling",0.9880094949440863
Other goods and commission based wholesaling,0.9880094949440863
"Motor vehicle retailing, including parts",0.9880094949440863
Fuel retailing,0.9880094949440863
Supermarket and grocery stores,0.9880094949440863
Specialised food retailing,0.9880094949440863
"Furniture, electrical, and hardware retailing",0.9880094949440863
"Recreational, clothing, footwear, and personal accessory retailing",0.9880094949440863
Department stores,0.9880094949440863
Pharmaceutical and other store based retailing,0.9880094949440863
Non-store and commission based retailing,0.9880094949440863
Accommodation,0.9880094949440863
Food and beverage services,0.9880094949440863
Road transport,0.9880094949440863
Rail transport,0.9880094949440863
Water transport,0.9880094949440863
Air and space transport,0.9880094949440863
Other transport,0.9880094949440863
Postal and courier services,0.9880094949440863
Transport support services,0.9880094949440863
Warehousing and storage services,0.9880094949440863
Publishing (except internet and music publishing),0.9880094949440863
Motion picture and sound recording activities,0.9880094949440863
Broadcasting and internet publishing,0.9880094949440863
Telecommunications services,0.9880094949440863
"Internet service providers, web search portals and data processing services",0.9880094949440863
Library and other information services,0.9880094949440863
Banking and financing; financial asset investing,0.9880094949440863
Life insurance,0.9880094949440863
Health and general insurance,0.9880094949440863
Superannuation and individual pension services,0.9880094949440863
Auxiliary finance and insurance services,0.9880094949440863
Rental and hiring services (except real estate),0.9880094949440863
Non-financial asset leasing,0.9880094949440863
Residential property operation,0.9880094949440863
Non-residential property operation,0.9880094949440863
Real estate services,0.9880094949440863
Owner-occupied property operation,0.9880094949440863
"Scientific, architectural, and engineering services",0.9880094949440863
Legal and accounting services,0.9880094949440863
"Advertising, market research, and management services",0.9880094949440863
Veterinary and other professional services,0.9880094949440863
Computer system design and related services,0.9880094949440863
Travel agency and tour arrangement services,0.9880094949440863
Employment and other administrative services,0.9880094949440863
"Building cleaning, pest control, and other support services",0.9880094949440863
Local government administration services,0.9880094949440863
Central government administration services,0.9880094949440863
Defence,0.9880094949440863
"Public order, safety, and regulatory services",0.9880094949440863
Preschool education,0.9880094949440863
School education,0.9880094949440863
Tertiary education,0.9880094949440863
"Adult, community, and other education",0.9880094949440863
Hospitals,0.9880094949440863
Medical and other health care services,0.9880094949440863
Residential care services and social assistance,0.9880094949440863
Heritage and artistic activities,0.9880094949440863
Sport and recreation services,0.9880094949440863
Gambling activities,0.9880094949440863
Repair and maintenance,0.9880094949440863
Personal services; domestic household staff,0.9880094949440863
"Religious services; civil, professional, and other interest groups",0.9880094949440863
