Unnamed: 0,household_demand_retained_share
Horticulture and fruit growing,0.9949237571568498
"Sheep, beef cattle, and grain farming",0.9949237571568498
Dairy cattle farming,0.9949237571568498
"Poultry, deer, and other livestock farming",0.9949237571568498
Forestry and logging,0.9949237571568498
Fishing and aquaculture,0.9949237571568498
"Agriculture, forestry, and fishing support services",0.9949237571568498
Coal mining,0.9949237571568498
Oil and gas extraction,0.9949237571568498
Metal ore and non-metallic mineral mining and quarrying,0.9949237571568498
Exploration and other mining support services,0.9949237571568498
Meat and meat product manufacturing,0.9949237571568498
Seafood processing,0.9949237571568498
Dairy product manufacturing,0.9949237571568498
"Fruit, oil, cereal, and other food product manufacturing",0.9949237571568498
Beverage and tobacco product manufacturing,0.9949237571568498
Textile and leather manufacturing,0.9949237571568498
"Clothing, knitted products, and footwear manufacturing",0.9949237571568498
Wood product manufacturing,0.9949237571568498
"Pulp, paper, and converted paper product manufacturing",0.9949237571568498
Printing,0.9949237571568498
Petroleum and coal product manufacturing,0.9949237571568498
Basic chemical and basic polymer manufacturing,0.9949237571568498
Fertiliser and pesticide manufacturing,0.9949237571568498
"Pharmaceutical, cleaning, and other chemical manufacturing",0.9949237571568498
Polymer product and rubber product manufacturing,0.9949237571568498
Non-metallic mineral product manufacturing,0.9949237571568498
Primary metal and metal product manufacturing,0.9949237571568498
Fabricated metal product manufacturing,0.9949237571568498
Transport equipment manufacturing,0.9949237571568498
Electronic and electrical equipment manufacturing,0.9949237571568498
Machinery manufacturing,0.9949237571568498
Furniture manufacturing,0.9949237571568498
Other manufacturing,0.9949237571568498
Electricity generation and on-selling,0.9949237571568498
Electricity transmission and distribution,0.9949237571568498
Gas and water supply,0.9949237571568498
Sewerage and drainage services,0.9949237571568498
"Waste collection, treatment, and disposal services",0.9949237571568498
Residential building construction,0.9949237571568498
Non-residential building construction,0.9949237571568498
Heavy and civil engineering construction,0.9949237571568498
Construction services,0.9949237571568498
Basic material wholesaling,0.9949237571568498
Machinery and equipment wholesaling,0.9949237571568498
"Motor vehicle wholesaling, including parts",0.9949237571568498
"Grocery, liquor, and tobacco product wholesaling",0.9949237571568498
Other goods and commission based wholesaling,0.9949237571568498
"Motor vehicle retailing, including parts",0.9949237571568498
Fuel retailing,0.9949237571568498
Supermarket and grocery stores,0.9949237571568498
Specialised food retailing,0.9949237571568498
"Furniture, electrical, and hardware retailing",0.9949237571568498
"Recreational, clothing, footwear, and personal accessory retailing",0.9949237571568498
Department stores,0.9949237571568498
Pharmaceutical and other store based retailing,0.9949237571568498
Non-store and commission based retailing,0.9949237571568498
Accommodation,0.9949237571568498
Food and beverage services,0.9949237571568498
Road transport,0.9949237571568498
Rail transport,0.9949237571568498
Water transport,0.9949237571568498
Air and space transport,0.9949237571568498
Other transport,0.9949237571568498
Postal and courier services,0.9949237571568498
Transport support services,0.9949237571568498
Warehousing and storage services,0.9949237571568498
Publishing (except internet and music publishing),0.9949237571568498
Motion picture and sound recording activities,0.9949237571568498
Broadcasting and internet publishing,0.9949237571568498
Telecommunications services,0.9949237571568498
"Internet service providers, web search portals and data processing services",0.9949237571568498
Library and other information services,0.9949237571568498
Banking and financing; financial asset investing,0.9949237571568498
Life insurance,0.9949237571568498
Health and general insurance,0.9949237571568498
Superannuation and individual pension services,0.9949237571568498
Auxiliary finance and insurance services,0.9949237571568498
Rental and hiring services (except real estate),0.9949237571568498
Non-financial asset leasing,0.9949237571568498
Residential property operation,0.9949237571568498
Non-residential property operation,0.9949237571568498
Real estate services,0.9949237571568498
Owner-occupied property operation,0.9949237571568498
"Scientific, architectural, and engineering services",0.9949237571568498
Legal and accounting services,0.9949237571568498
"Advertising, market research, and management services",0.9949237571568498
Veterinary and other professional services,0.9949237571568498
Computer system design and related services,0.9949237571568498
Travel agency and tour arrangement services,0.9949237571568498
Employment and other administrative services,0.9949237571568498
"Building cleaning, pest control, and other support services",0.9949237571568498
Local government administration services,0.9949237571568498
Central government administration services,0.9949237571568498
Defence,0.9949237571568498
"Public order, safety, and regulatory services",0.9949237571568498
Preschool education,0.9949237571568498
School education,0.9949237571568498
Tertiary education,0.9949237571568498
"Adult, community, and other education",0.9949237571568498
Hospitals,0.9949237571568498
Medical and other health care services,0.9949237571568498
Residential care services and social assistance,0.9949237571568498
Heritage and artistic activities,0.9949237571568498
Sport and recreation services,0.9949237571568498
Gambling activities,0.9949237571568498
Repair and maintenance,0.9949237571568498
Personal services; domestic household staff,0.9949237571568498
"Religious services; civil, professional, and other interest groups",0.9949237571568498
