Description,NZSIOC,Original Output,Shocked Output,Output Loss,Value Added to Output Ratio,Original GDP Estimate,Shocked GDP Estimate,Loss,Direct Loss,Indirect Loss
Horticulture and fruit growing,AA111,6905.009999999998,6900.884042134642,4.125957865356267,0.42810457516339867,2956.066372549019,2954.300031109928,1.766341439090428,0.9771518131102173,0.7891896259802107
"Sheep, beef cattle, and grain farming",,11564.824999999995,11558.94726023981,5.877739760185613,0.4252711496746204,4918.186423535789,4915.686790390487,2.4996331453023632,0.08245305616282053,2.4171800891395425
Dairy cattle farming,AA131,17366.689999999988,17362.552304844176,4.13769515581449,0.5005778676683039,8693.380648656452,8691.309410038291,2.071238618159088,0.023495255659550022,2.047743362499538
"Poultry, deer, and other livestock farming",,2251.4699999999993,2250.0823441806374,1.3876558193619473,0.332035595105673,747.5681813125694,747.1074301867858,0.46075112578369437,0.2597954481465746,0.20095567763711977
Forestry and logging,AA211,6804.61,6803.231607016016,1.3783929839839129,0.30035010134512624,2043.7653031140592,2043.3513026416263,0.4140004724329792,0.027719540490584865,0.3862809319423944
Fishing and aquaculture,,1918.8950000000004,1918.073776613839,0.8212233861613992,0.35635179153094465,683.8016710097722,683.5090265848664,0.2926444249057234,0.18570211186764926,0.10694231303807412
"Agriculture, forestry, and fishing support services",,6337.749999999999,6335.092262484745,2.6577375152545435,0.4612341772151899,2923.1869066455697,2921.9610672694675,1.2258393761023725,0.061060823516126336,1.1647785525862462
Coal mining,BB111,632.52,632.3256311603185,0.19436883968148888,0.41386138613861384,261.77560396039604,261.6951622029833,0.080441757412735,0.00854924353907318,0.07189251387366181
Oil and gas extraction,BB112,3481.369999999999,3479.9039577914023,1.4660422085969753,0.5343401654081266,1860.235821646889,1859.4524564106523,0.7833652362370029,0.011197973450349822,0.772167262786653
Metal ore and non-metallic mineral mining and quarrying,BB113,2146.05,2145.5376619968274,0.5123380031726799,0.5344224037339557,1146.8971995332556,1146.6233946260759,0.27380490717979855,0.08010075083837231,0.19370415634142626
Exploration and other mining support services,BB114,651.3449999999999,651.0345087745131,0.3104912254867719,0.3818525519848771,248.71775047258976,248.59918860576875,0.11856186682103576,0.0,0.11856186682103576
Meat and meat product manufacturing,CC111,15834.334999999994,15825.632271126526,8.70272887346925,0.1862030730239189,2948.401836290194,2946.78136143026,1.6204748599339622,1.3094137728987076,0.3110610870352546
Seafood processing,CC121,2153.58,2152.629872961672,0.9501270383280143,0.34279096699478867,738.2277707006369,737.9020757344006,0.32569496623635463,0.2740205132511511,0.05167445298520348
Dairy product manufacturing,CC131,29974.419999999995,29967.70485286471,6.715147135283605,0.157542273564373,4722.2382755734125,4721.180356026401,1.0579195470118654,0.8717847321056438,0.18613481490622152
"Fruit, oil, cereal, and other food product manufacturing",,10308.57,10296.878390998821,11.69160900117701,0.32566630156991605,3357.153866374589,3353.346303311774,3.8075630628148573,3.4577280633465683,0.34983499946828917
Beverage and tobacco product manufacturing,CC151,6779.509999999999,6771.9186528922755,7.591347107724104,0.2839689004072566,1925.1699999999998,1923.01429350921,2.1557064907902213,1.799514985896457,0.35619150489376455
Textile and leather manufacturing,CC211,1805.945,1804.8020734422878,1.142926557712168,0.3102971665514858,560.3796164478231,560.0249695753885,0.3546468724345289,0.14917222841875546,0.20547464401577345
"Clothing, knitted products, and footwear manufacturing",,513.295,513.0100738545968,0.28492614540307637,0.4081145584725537,209.48316229116944,209.36687978314097,0.11628250802846314,0.10157079535967911,0.014711712668784039
Wood product manufacturing,CC311,7001.6449999999995,6999.047758272551,2.597241727448563,0.29581245526127414,2071.1737983178236,2070.4055018655204,0.7682964523035924,0.15727128827075734,0.611025164032835
"Pulp, paper, and converted paper product manufacturing",,4216.8,4214.6002843957685,2.1997156042318555,0.19141323792486584,807.1513416815743,806.7302869952545,0.42105468631987214,0.1202709147589005,0.3007837715609717
