Description,NZSIOC,Original Output,Shocked Output,Output Loss,Value Added to Output Ratio,Original GDP Estimate,Shocked GDP Estimate,Loss,Direct Loss,Indirect Loss
Horticulture and fruit growing,AA111,6905.009999999999,6902.050791492843,2.959208507156827,0.42810457516339867,2956.0663725490194,2954.799521848243,1.2668507007762888,0.70083021991568,0.5660204808606087
"Sheep, beef cattle, and grain farming",,11564.824999999997,11560.609383149602,4.215616850395608,0.4252711496746204,4918.186423535791,4916.393643311235,1.7927802245554425,0.05913676125655688,1.7336434632988855
Dairy cattle farming,AA131,17366.689999999995,17363.722373304645,2.967626695352919,0.5005778676683039,8693.380648656455,8691.895120413259,1.4855282431952996,0.01685120466434719,1.4686770385309524
"Poultry, deer, and other livestock farming",,2251.4699999999993,2250.47474919045,0.9952508095491782,0.332035595105673,747.5681813125693,747.2377226177412,0.33045869482806417,0.1863297991313552,0.144128895696709
Forestry and logging,AA211,6804.61,6803.62139265656,0.9886073434399849,0.30035010134512624,2043.7653031140592,2043.4683747982665,0.2969283157927355,0.019880934975851673,0.2770473808168838
Fishing and aquaculture,,1918.8949999999995,1918.3060043510109,0.5889956489887697,0.35635179153094465,683.8016710097719,683.5917813550509,0.2098896547210795,0.13318877389662384,0.07670088082445567
"Agriculture, forestry, and fishing support services",,6337.750000000002,6335.843824580476,1.9061754195254705,0.4612341772151899,2923.18690664557,2922.3077133943175,0.8791932512526498,0.043793881154285876,0.835399370098364
Coal mining,BB111,632.5200000000001,632.380595298672,0.1394047013281056,0.41386138613861384,261.7756039603961,261.71790973747017,0.05769422292588924,0.00613166567284016,0.05156255725304908
Oil and gas extraction,BB112,3481.37,3480.318529113211,1.0514708867886928,0.5343401654081266,1860.2358216468892,1859.673978519321,0.5618431275684996,0.00803138068263863,0.553811746885861
Metal ore and non-metallic mineral mining and quarrying,BB113,2146.05,2145.6825423024156,0.3674576975844195,0.5344224037339557,1146.8971995332556,1146.700821907242,0.19637762601361042,0.05744964709914252,0.1389279789144679
Exploration and other mining support services,BB114,651.3449999999999,651.1223103105162,0.2226896894836733,0.3818525519848771,248.71775047258976,248.6327158463597,0.0850346262300605,0.0,0.0850346262300605
Meat and meat product manufacturing,CC111,15834.334999999994,15828.093251984556,6.241748015437888,0.1862030730239189,2948.401836290194,2947.239603628678,1.1622326615154819,0.9391342574501238,0.22309840406535802
Seafood processing,CC121,2153.5800000000004,2152.8985524170494,0.6814475829510603,0.34279096699478867,738.2277707006372,737.9941766247211,0.23359407591605547,0.19653226242498595,0.03706181349106952
Dairy product manufacturing,CC131,29974.420000000006,29969.60378006321,4.816219936795896,0.157542273564373,4722.238275573414,4721.479517334586,0.7587582388288863,0.6252591228133035,0.13349911601558276
"Fruit, oil, cereal, and other food product manufacturing",,10308.57,10300.18457534282,8.385424657179028,0.32566630156991605,3357.153866374589,3354.4230161393925,2.730850235196675,2.479942508964481,0.25090772623219393
Beverage and tobacco product manufacturing,CC151,6779.509999999998,6774.06535425347,5.444645746528299,0.2839689004072566,1925.1699999999996,1923.623889934251,1.5461100657486875,1.2906433436307898,0.2554667221178977
Textile and leather manufacturing,CC211,1805.9450000000006,1805.1252732594437,0.8197267405569095,0.3102971665514858,560.3796164478232,560.125257562882,0.254358884941294,0.10698890821813843,0.14736997672315555
"Clothing, knitted products, and footwear manufacturing",,513.2949999999998,513.0906460291395,0.20435397086030632,0.4081145584725537,209.48316229116938,209.3997624605796,0.08339983058976701,0.07284833522680788,0.010551495362959129
Wood product manufacturing,CC311,7001.644999999997,6999.782213208224,1.8627867917731826,0.29581245526127414,2071.173798317823,2070.6227627833205,0.551035534502697,0.1127976943463906,0.4382378401563064
"Pulp, paper, and converted paper product manufacturing",,4216.799999999999,4215.222325835164,1.5776741648351433,0.19141323792486584,807.1513416815742,806.8493539612928,0.30198772028150334,0.08626038503849182,0.21572733524301152
Printing,CC411,1842.3400000000001,1841.2515579248022,1.088442075198003,0.44972826086956524,828.5523641304349,828.0628609688989,0.48950316153605844,0.04798943572513938,0.441513725810919
Petroleum and coal product manufacturing,CC511,9094.985000000004,9088.647513192795,6.337486807209552,0.178191856452726,1620.652261559697,1619.5229730202757,1.1292885394213292,0.7373195393144565,0.3919690001068728
Basic chemical and basic polymer manufacturing,CC521,1931.4449999999988,1930.8439096797993,0.6010903201994983,0.2754374594944913,531.9923039533373,531.8267411626149,0.1655627907224801,0.06827022562017251,0.09729256510230758
Fertiliser and pesticide manufacturing,CC522,2035.61,2034.8659468073924,0.7440531926074504,0.2481527093596059,505.1421366995074,504.9574978838541,0.18463881565320353,0.04746326728583489,0.13717554836736862
"Pharmaceutical, cleaning, and other chemical manufacturing",,2257.7449999999994,2256.6097384762447,1.13526152375484,0.32685904550499445,737.9643756936736,737.5933051956205,0.37107049805305253,0.25584768763251625,0.11522281042053628
Polymer product and rubber product manufacturing,CC531,4694.954999999999,4692.880288633236,2.0747113667634673,0.40855614973262033,1918.1527379679142,1917.3051018801027,0.8476360878113846,0.2537992268156894,0.5938368609956951
Non-metallic mineral product manufacturing,CC611,4051.14,4049.649288710845,1.4907112891545897,0.3544891640866873,1436.0852321981424,1435.5567911993553,0.5284409987869986,0.1870309807896286,0.34141001799736986
Primary metal and metal product manufacturing,CC711,4472.819999999999,4471.736208779515,1.0837912204838516,0.1661529840291398,743.1723900252169,742.9923148798689,0.18007514534797534,0.0054526290345019565,0.1746225163134734
Fabricated metal product manufacturing,CC721,8600.514999999998,8597.060342587189,3.454657412808651,0.3606653049314269,3101.90736504231,3100.661389973086,1.2459750692242466,0.20133639583654558,1.044638673387701
Transport equipment manufacturing,CC811,5355.084999999999,5351.798128091138,3.286871908861167,0.3175754739059209,1700.6436566814882,1699.5998267773637,1.0438299041246437,0.7310664859835214,0.31276341814112235
Electronic and electrical equipment manufacturing,CC821,5789.3150000000005,5787.919190296543,1.395809703457212,0.5041161178509532,2918.487002816292,2917.783352647326,0.7036501689655399,0.41898908137357094,0.28466108759196895
Machinery manufacturing,CC822,5078.985,5078.156068654229,0.8289313457706589,0.44090796940537874,2239.3649629903775,2238.9994805539372,0.3654824364402091,0.17069786117461586,0.19478457526559323
Furniture manufacturing,CC911,1661.6199999999997,1660.0817887346784,1.5382112653212254,0.40271493212669685,669.1591855203618,668.5397248750514,0.6194606453103577,0.48156602038902213,0.13789462492133564
Other manufacturing,CC912,993.9599999999999,993.2969328837178,0.6630671162821544,0.3849056603773585,382.5808301886792,382.3256119024121,0.2552182862670934,0.20349313102444272,0.05172515524265071
Electricity generation and on-selling,DD111,15101.414999999997,15086.775411360466,14.639588639530146,0.26820146276595747,4050.2215928357705,4046.2952337483566,3.926359087413878,2.648788544318502,1.2775705430953763
Electricity transmission and distribution,DD112,5971.289999999999,5966.038317074279,5.251682925720906,0.6158536585365854,3677.4407926829263,3674.2065245396475,3.2342681432793383,1.2576050101522418,1.9766631331270967
Gas and water supply,,3766.254999999999,3763.3100103727443,2.944989627254856,0.414780292942743,1562.1683521970701,1560.946828536764,1.2215236603061088,0.2772727529518853,0.9442509073542235
