Description,NZSIOC,Original Output,Shocked Output,Loss
Horticulture and fruit growing,AA111,5502.0,5485.091521679373,16.908478320627182
"Sheep, beef cattle, and grain farming",,9214.999999999998,9190.912590832795,24.087409167203077
Dairy cattle farming,AA131,13837.999999999998,13821.043421401137,16.956578598861597
"Poultry, deer, and other livestock farming",,1793.9999999999995,1788.3132845501914,5.686715449808162
Forestry and logging,AA211,5422.0,5416.3512443297805,5.648755670219543
Fishing and aquaculture,,1528.9999999999998,1525.6345662572337,3.365433742766072
"Agriculture, forestry, and fishing support services",,5050.000000000002,5039.108396492384,10.891603507618129
Coal mining,BB111,504.0000000000001,503.2034622215714,0.7965377784287284
Oil and gas extraction,BB112,2774.0,2767.9920513708184,6.007948629181556
Metal ore and non-metallic mineral mining and quarrying,BB113,1710.0000000000002,1707.9004012396201,2.099598760380104
Exploration and other mining support services,BB114,519.0,517.7275841571301,1.2724158428699184
Meat and meat product manufacturing,CC111,12616.999999999996,12581.335577994378,35.66442200561869
Seafood processing,CC121,1716.0000000000005,1712.1063096246548,3.8936903753456136
Dairy product manufacturing,CC131,23884.000000000007,23856.480833914928,27.519166085079632
"Fruit, oil, cereal, and other food product manufacturing",,8214.0,8166.086927743587,47.913072256413216
Beverage and tobacco product manufacturing,CC151,5401.999999999999,5370.890102084384,31.109897915614965
Textile and leather manufacturing,CC211,1439.0000000000007,1434.3162030360445,4.683796963956183
"Clothing, knitted products, and footwear manufacturing",,408.9999999999999,407.8323517326785,1.1676482673213968
Wood product manufacturing,CC311,5578.999999999998,5568.356312673306,10.643687326692088
"Pulp, paper, and converted paper product manufacturing",,3360.0,3350.9854039184447,9.014596081555283
Printing,CC411,1468.0000000000002,1461.7808034860577,6.2191965139425065
Petroleum and coal product manufacturing,CC511,7247.000000000004,7210.788540743998,36.21145925600558
Basic chemical and basic polymer manufacturing,CC521,1538.999999999999,1535.5654591005496,3.43454089944953
Fertiliser and pesticide manufacturing,CC522,1622.0,1617.7485904605333,4.251409539466749
"Pharmaceutical, cleaning, and other chemical manufacturing",,1798.9999999999998,1792.513284104104,6.486715895895713
Polymer product and rubber product manufacturing,CC531,3740.9999999999995,3729.1454070973273,11.854592902672266
Non-metallic mineral product manufacturing,CC611,3228.0,3219.482296886477,8.517703113523112
Primary metal and metal product manufacturing,CC711,3563.9999999999995,3557.8073777797945,6.192622220205067
Fabricated metal product manufacturing,CC721,6852.999999999998,6833.260600147512,19.739399852485803
Transport equipment manufacturing,CC811,4267.0,4248.219301620941,18.780698379058776
Electronic and electrical equipment manufacturing,CC821,4613.000000000001,4605.024550465602,7.975449534398649
Machinery manufacturing,CC822,4047.0,4042.263609287636,4.736390712364027
Furniture manufacturing,CC911,1323.9999999999998,1315.210889070735,8.78911092926478
Other manufacturing,CC912,792.0,788.2113328838883,3.7886671161116965
Electricity generation and on-selling,DD111,12032.999999999998,11949.351562745336,83.64843725466199
Electricity transmission and distribution,DD112,4758.0,4727.9926630105365,30.00733698946351
Gas and water supply,,3000.9999999999995,2984.1727662493295,16.827233750670075
Sewerage and drainage services,DD122,766.0000000000005,763.6243527568855,2.3756472431149405
"Waste collection, treatment, and disposal services",,2413.0,2403.041592275735,9.958407724264816
Residential building construction,EE112,20687.000000000004,20671.169742372775,15.830257627229003
Non-residential building construction,EE113,9616.999999999998,9602.199542267437,14.800457732560972
Heavy and civil engineering construction,EE121,14525.000000000004,14514.860156133143,10.139843866860247
Construction services,EE131,28727.000000000004,28667.572512894694,59.42748710530941
Basic material wholesaling,FF111,7171.000000000003,7139.477888870477,31.52211112952591
Machinery and equipment wholesaling,FF112,7460.0,7426.0464225875385,33.95357741246153
"Motor vehicle wholesaling, including parts",,1918.9999999999998,1908.4876587299173,10.512341270082516
"Grocery, liquor, and tobacco product wholesaling",,7001.0,6962.856420148428,38.14357985157221
Other goods and commission based wholesaling,,7277.000000000001,7241.883799098667,35.116200901334196
"Motor vehicle retailing, including parts",,2798.999999999999,2774.3117822492977,24.68821775070137
Fuel retailing,GH112,777.0000000000001,769.8648681521707,7.135131847829371
Supermarket and grocery stores,GH121,4823.000000000001,4776.955732769116,46.04426723088454
Specialised food retailing,GH122,1057.0,1046.9578458803794,10.04215411962059
"Furniture, electrical, and hardware retailing",,4841.0,4795.405848797096,45.59415120290396
"Recreational, clothing, footwear, and personal accessory retailing",,3125.0000000000005,3094.9249986784275,30.075001321572927
Department stores,GH133,2065.9999999999995,2045.620461907444,20.37953809255555
Pharmaceutical and other store based retailing,GH134,2920.000000000001,2896.1062087555306,23.89379124447032
Non-store and commission based retailing,GH135,863.9999999999998,856.7457786246051,7.25422137539465
Accommodation,GH211,4238.0,4217.826009216696,20.17399078330436
Food and beverage services,GH212,10768.0,10676.86733831526,91.13266168474001
Road transport,II111,9433.0,9395.330064280464,37.669935719535715
Rail transport,II121,668.0,665.3388333232588,2.6611666767412316
Water transport,II122,694.0,689.9523668081213,4.047633191878731
Air and space transport,II123,6424.000000000001,6392.820797712296,31.179202287705266
Other transport,II125,884.0000000000002,879.5572005282796,4.442799471720605
Postal and courier services,,2415.0,2404.574464629648,10.425535370352009
Transport support services,II132,6949.0,6926.631496927383,22.368503072617386
Warehousing and storage services,II133,1310.0,1304.7414016361915,5.25859836380846
Publishing (except internet and music publishing),JJ111,1268.0,1261.3995553252337,6.600444674766322
Motion picture and sound recording activities,JJ112,2094.9999999999995,2088.2253518474654,6.774648152534155
Broadcasting and internet publishing,JJ113,1665.0,1652.9615856665173,12.038414333482706
Telecommunications services,JJ121,7244.999999999999,7195.5332305823285,49.46676941767055
"Internet service providers, web search portals and data processing services",JJ122,1433.0000000000005,1425.8984151676016,7.101584832398885
Library and other information services,JJ123,378.00000000000006,377.7195548839508,0.2804451160492363
Banking and financing; financial asset investing,,15261.000000000002,15155.202513299415,105.79748670058689
Life insurance,KK121,1902.9999999999998,1881.3601190619402,21.639880938059605
Health and general insurance,KK122,6746.000000000002,6698.139539704383,47.860460295618395
Superannuation and individual pension services,,401.0,397.4334322728706,3.5665677271293816
Auxiliary finance and insurance services,KK131,6800.0,6753.690138756483,46.309861243516934
Rental and hiring services (except real estate),LL111,5215.0,5192.7503196779435,22.24968032205652
Non-financial asset leasing,LL112,1340.0,1334.5239809496188,5.476019050381183
Residential property operation,LL121,13248.000000000002,13114.738483370675,133.26151662932716
Non-residential property operation,LL122,14349.0,14280.664485189987,68.33551481001268
Real estate services,LL123,5072.999999999998,5061.924795615998,11.075204384000244
Owner-occupied property operation,,31239.0,30865.120774403375,373.8792255966255
"Scientific, architectural, and engineering services",,12929.000000000004,12900.11579601351,28.884203986493958
Legal and accounting services,MN112,7489.0,7459.414331901257,29.585668098742644
"Advertising, market research, and management services",,10921.000000000004,10874.00246709966,46.997532900342776
Veterinary and other professional services,MN114,1204.0,1196.3490272978925,7.650972702107538
Computer system design and related services,MN115,11081.0,11052.809369016986,28.19063098301376
Travel agency and tour arrangement services,MN211,1310.9999999999998,1304.095559433144,6.904440566855783
Employment and other administrative services,MN212,7227.999999999999,7196.034728870683,31.965271129316534
"Building cleaning, pest control, and other support services",,4189.999999999999,4172.892771866666,17.107228133332683
Local government administration services,,2553.000000000001,2551.868669428738,1.131330571262879
Central government administration services,,10182.000000000002,10176.096805062221,5.903194937780427
Defence,OO212,2450.000000000001,2448.9085323767495,1.0914676232514466
"Public order, safety, and regulatory services",,7943.000000000001,7930.165618727794,12.834381272206883
Preschool education,PP111,1824.9999999999995,1819.283110770233,5.716889229766593
School education,PP112,8588.000000000004,8577.222915666105,10.777084333898529
Tertiary education,PP113,6885.000000000002,6872.769651601409,12.230348398592469
"Adult, community, and other education",,1849.0000000000002,1842.4662306312116,6.533769368788626
Hospitals,QQ111,12851.000000000002,12834.436608211874,16.563391788127774
Medical and other health care services,QQ112,11523.999999999996,11496.976791111905,27.023208888091176
Residential care services and social assistance,QQ113,6606.0,6555.126521021801,50.87347897819927
Heritage and artistic activities,RS111,1717.0000000000002,1711.31128123166,5.688718768340323
Sport and recreation services,,3815.0000000000014,3793.9924873133846,21.007512686616792
Gambling activities,RS113,1948.0000000000005,1928.3583546442842,19.641645355716264
Repair and maintenance,RS211,4883.0,4858.828608329605,24.17139167039477
Personal services; domestic household staff,,3233.0,3206.793643357643,26.20635664235715
"Religious services; civil, professional, and other interest groups",,2987.000000000001,2966.7268796859503,20.27312031405063
