Description,NZSIOC,Original Output,Shocked Output,Output Loss
Horticulture and fruit growing,AA111,6905.009999999999,6896.954495024472,8.05550497552801
"Sheep, beef cattle, and grain farming",,11564.824999999997,11553.349322489903,11.47567751009442
Dairy cattle farming,AA131,17366.689999999995,17358.611579181692,8.078420818305139
"Poultry, deer, and other livestock farming",,2251.4699999999993,2248.7607458772045,2.709254122794634
Forestry and logging,AA211,6804.61,6801.91883060296,2.691169397039139
Fishing and aquaculture,,1918.8949999999995,1917.2916464784357,1.6033535215637253
"Agriculture, forestry, and fishing support services",,6337.750000000002,6332.56104304105,5.188956958951648
Coal mining,BB111,632.5200000000001,632.1405149916122,0.37948500838783156
Oil and gas extraction,BB112,3481.37,3478.5077045788885,2.8622954211113525
Metal ore and non-metallic mineral mining and quarrying,BB113,2146.05,2145.049713165186,1.000286834814159
Exploration and other mining support services,BB114,651.3449999999999,650.7387980722563,0.6062019277437053
Meat and meat product manufacturing,CC111,15834.334999999994,15817.34382412552,16.991175874474138
Seafood processing,CC121,2153.5800000000004,2151.724975461601,1.8550245383996262
Dairy product manufacturing,CC131,29974.420000000006,29961.30937140783,13.110628592174816
"Fruit, oil, cereal, and other food product manufacturing",,10308.57,10285.7433455468,22.826654453199016
Beverage and tobacco product manufacturing,CC151,6779.509999999998,6764.688681801205,14.821318198792664
Textile and leather manufacturing,CC211,1805.9450000000006,1803.713554388394,2.231445611606823
"Clothing, knitted products, and footwear manufacturing",,513.2949999999998,512.7387112406735,0.5562887593262504
Wood product manufacturing,CC311,7001.644999999997,6996.574154794871,5.070845205125697
"Pulp, paper, and converted paper product manufacturing",,4216.799999999999,4212.505283337132,4.2947166628680815
Printing,CC411,1842.3400000000001,1839.3770622647496,2.9629377352504638
Petroleum and coal product manufacturing,CC511,9094.985000000004,9077.733205682587,17.251794317416635
Basic chemical and basic polymer manufacturing,CC521,1931.4449999999988,1929.808722578724,1.6362774212747204
Fertiliser and pesticide manufacturing,CC522,2035.61,2033.5845515800556,2.0254484199442686
"Pharmaceutical, cleaning, and other chemical manufacturing",,2257.7449999999994,2254.6546111912985,3.090388808700884
Polymer product and rubber product manufacturing,CC531,4694.954999999999,4689.307257471103,5.647742528896023
Non-metallic mineral product manufacturing,CC611,4051.14,4047.0820121367547,4.0579878632451525
Primary metal and metal product manufacturing,CC711,4472.819999999999,4469.86972273906,2.9502772609383667
Fabricated metal product manufacturing,CC721,8600.514999999998,8591.11079279043,9.404207209566401
Transport equipment manufacturing,CC811,5355.084999999999,5346.137535516939,8.947464483060479
Electronic and electrical equipment manufacturing,CC821,5789.3150000000005,5785.515351552155,3.7996484478454153
Machinery manufacturing,CC822,5078.985,5076.72849777514,2.2565022248596756
Furniture manufacturing,CC911,1661.6199999999997,1657.4327085430987,4.187291456900992
Other manufacturing,CC912,993.9599999999999,992.1550104423513,1.80498955764863
Electricity generation and on-selling,DD111,15101.414999999997,15061.56337114715,39.851628852846396
Electricity transmission and distribution,DD112,5971.289999999999,5956.993961773657,14.296038226342361
Gas and water supply,,3766.254999999999,3758.2382014074537,8.016798592545213
Sewerage and drainage services,DD122,961.3300000000005,960.198198673818,1.1318013261825848
"Waste collection, treatment, and disposal services",,3028.3149999999996,3023.5706343953625,4.744365604637389
Residential building construction,EE112,25962.185,25954.643178869686,7.541821130315129
Non-residential building construction,EE113,12069.334999999997,12062.283794170358,7.051205829637628
Heavy and civil engineering construction,EE121,18228.875000000004,18224.04419493454,4.8308050654631005
Construction services,EE131,36052.385,36024.07266999713,28.312330002872148
Basic material wholesaling,FF111,8999.605000000003,8984.587295968451,15.01770403155131
Machinery and equipment wholesaling,FF112,9362.3,9346.123901441833,16.176098558165375
"Motor vehicle wholesaling, including parts",,2408.3449999999993,2403.336730432519,5.008269567480671
"Grocery, liquor, and tobacco product wholesaling",,8786.255,8768.082708475462,18.172291524537346
Other goods and commission based wholesaling,,9132.635,9115.90500657787,16.72999342213075
"Motor vehicle retailing, including parts",,3512.7449999999985,3500.9830864110577,11.761913588940953
Fuel retailing,GH112,975.1350000000001,971.7356941008334,3.399305899166697
Supermarket and grocery stores,GH121,6052.865000000001,6030.928678070873,21.936321929128415
Specialised food retailing,GH122,1326.5349999999999,1321.7507360974969,4.784263902502905
"Furniture, electrical, and hardware retailing",,6075.455,6053.73312148998,21.721878510019575
"Recreational, clothing, footwear, and personal accessory retailing",,3921.8750000000005,3907.546725261676,14.32827473832456
Department stores,GH133,2592.829999999999,2583.1208193516577,9.709180648341345
Pharmaceutical and other store based retailing,GH134,3664.600000000001,3653.216565571176,11.383434428825014
Non-store and commission based retailing,GH135,1084.3199999999997,1080.863957695366,3.4560423046336455
Accommodation,GH211,5318.69,5309.078745808491,9.611254191508833
Food and beverage services,GH212,13513.839999999998,13470.422751226113,43.41724877388637
Road transport,II111,11838.414999999999,11820.468361109004,17.946638890995363
Rail transport,II121,838.3399999999999,837.0721720500982,1.2678279499018055
Water transport,II122,870.9699999999999,869.0416343187126,1.9283656812873469
Air and space transport,II123,8062.120000000001,8047.265663944507,14.854336055493999
Other transport,II125,1109.4200000000003,1107.3033699537555,2.116630046244784
Postal and courier services,,3030.825,3025.858086333619,4.966913666380678
Transport support services,II132,8720.994999999999,8710.338240451343,10.65675954865574
Warehousing and storage services,II133,1644.05,1641.544708602353,2.505291397646839
Publishing (except internet and music publishing),JJ111,1591.34,1588.195428743495,3.1445712565046753
Motion picture and sound recording activities,JJ112,2629.224999999999,2625.9974350550433,3.2275649449558155
Broadcasting and internet publishing,JJ113,2089.575,2083.8396816158174,5.735318384182228
Telecommunications services,JJ121,9092.474999999999,9068.908136110109,23.566863889888612
"Internet service providers, web search portals and data processing services",JJ122,1798.4150000000004,1795.031676505908,3.3833234940923678
Library and other information services,JJ123,474.39000000000004,474.25639087297753,0.13360912702251027
Banking and financing; financial asset investing,,19152.555,19102.151163276547,50.40383672345218
Life insurance,KK121,2388.2649999999994,2377.9553692182803,10.30963078171923
Health and general insurance,KK122,8466.230000000001,8443.428410836766,22.801589163235587
Superannuation and individual pension services,,503.25499999999994,501.5558226094243,1.6991773905756808
Auxiliary finance and insurance services,KK131,8534.0,8511.9371442782,22.062855721800155
Rental and hiring services (except real estate),LL111,6544.825,6534.224849759418,10.600150240580982
Non-financial asset leasing,LL112,1681.6999999999998,1679.0911254537543,2.6088745462455627
Residential property operation,LL121,16626.24,16562.75180254675,63.488197453250365
Non-residential property operation,LL122,18007.995,17975.438724437,32.55627556299689
Real estate services,LL123,6366.614999999997,6361.33857226188,5.276427738117609
Owner-occupied property operation,,39204.945,39026.82217280472,178.12282719527653
"Scientific, architectural, and engineering services",,16225.895000000004,16212.134042655693,13.760957344310736
