Description,NZSIOC,Original Output,Shocked Output,Output Loss
Horticulture and fruit growing,AA111,6905.009999999999,6902.050791492843,2.959208507156827
"Sheep, beef cattle, and grain farming",,11564.824999999997,11560.609383149602,4.215616850395608
Dairy cattle farming,AA131,17366.689999999995,17363.722373304645,2.967626695352919
"Poultry, deer, and other livestock farming",,2251.4699999999993,2250.47474919045,0.9952508095491782
Forestry and logging,AA211,6804.61,6803.62139265656,0.9886073434399849
Fishing and aquaculture,,1918.8949999999995,1918.3060043510109,0.5889956489887697
"Agriculture, forestry, and fishing support services",,6337.750000000002,6335.843824580476,1.9061754195254705
Coal mining,BB111,632.5200000000001,632.380595298672,0.1394047013281056
Oil and gas extraction,BB112,3481.37,3480.318529113211,1.0514708867886928
Metal ore and non-metallic mineral mining and quarrying,BB113,2146.05,2145.6825423024156,0.3674576975844195
Exploration and other mining support services,BB114,651.3449999999999,651.1223103105162,0.2226896894836733
Meat and meat product manufacturing,CC111,15834.334999999994,15828.093251984556,6.241748015437888
Seafood processing,CC121,2153.5800000000004,2152.8985524170494,0.6814475829510603
Dairy product manufacturing,CC131,29974.420000000006,29969.60378006321,4.816219936795896
"Fruit, oil, cereal, and other food product manufacturing",,10308.57,10300.18457534282,8.385424657179028
Beverage and tobacco product manufacturing,CC151,6779.509999999998,6774.06535425347,5.444645746528299
Textile and leather manufacturing,CC211,1805.9450000000006,1805.1252732594437,0.8197267405569095
"Clothing, knitted products, and footwear manufacturing",,513.2949999999998,513.0906460291395,0.20435397086030632
Wood product manufacturing,CC311,7001.644999999997,6999.782213208224,1.8627867917731826
"Pulp, paper, and converted paper product manufacturing",,4216.799999999999,4215.222325835164,1.5776741648351433
Printing,CC411,1842.3400000000001,1841.2515579248022,1.088442075198003
Petroleum and coal product manufacturing,CC511,9094.985000000004,9088.647513192795,6.337486807209552
Basic chemical and basic polymer manufacturing,CC521,1931.4449999999988,1930.8439096797993,0.6010903201994983
Fertiliser and pesticide manufacturing,CC522,2035.61,2034.8659468073924,0.7440531926074504
"Pharmaceutical, cleaning, and other chemical manufacturing",,2257.7449999999994,2256.6097384762447,1.13526152375484
Polymer product and rubber product manufacturing,CC531,4694.954999999999,4692.880288633236,2.0747113667634673
Non-metallic mineral product manufacturing,CC611,4051.14,4049.649288710845,1.4907112891545897
Primary metal and metal product manufacturing,CC711,4472.819999999999,4471.736208779515,1.0837912204838516
Fabricated metal product manufacturing,CC721,8600.514999999998,8597.060342587189,3.454657412808651
Transport equipment manufacturing,CC811,5355.084999999999,5351.798128091138,3.286871908861167
Electronic and electrical equipment manufacturing,CC821,5789.3150000000005,5787.919190296543,1.395809703457212
Machinery manufacturing,CC822,5078.985,5078.156068654229,0.8289313457706589
Furniture manufacturing,CC911,1661.6199999999997,1660.0817887346784,1.5382112653212254
Other manufacturing,CC912,993.9599999999999,993.2969328837178,0.6630671162821544
Electricity generation and on-selling,DD111,15101.414999999997,15086.775411360466,14.639588639530146
Electricity transmission and distribution,DD112,5971.289999999999,5966.038317074279,5.251682925720906
Gas and water supply,,3766.254999999999,3763.3100103727443,2.944989627254856
Sewerage and drainage services,DD122,961.3300000000005,960.9142301478275,0.4157698521729071
"Waste collection, treatment, and disposal services",,3028.3149999999996,3026.572146249557,1.7428537504427026
Residential building construction,EE112,25962.185,25959.4144944493,2.77050555070442
Non-residential building construction,EE113,12069.334999999997,12066.744723122238,2.5902768777592606
Heavy and civil engineering construction,EE121,18228.875000000004,18227.10039251238,1.7746074876220699
Construction services,EE131,36052.385,36041.984399658184,10.400600341815206
Basic material wholesaling,FF111,8999.605000000003,8994.08821146059,5.51678853941165
Machinery and equipment wholesaling,FF112,9362.3,9356.35767253433,5.942327465669295
