Description,NZSIOC,Original Output,Shocked Output,Output Loss,Value Added to Output Ratio,Original GDP Estimate,Shocked GDP Estimate,Loss,Direct Loss,Indirect Loss,Direct VoLL Loss
Horticulture and fruit growing,AA111,5865.591011198375,5839.3207530952595,26.270258103115413,0.42810457516339867,2511.0863479313302,2499.8399302466632,11.246417684667056,6.685114058784718,4.5613036258823385,12.306732629300152
"Sheep, beef cattle, and grain farming",,9630.482842666717,9596.186521526504,34.29632114021272,0.4252711496746204,4095.566510422581,4080.9812745016725,14.58523592090825,8.219784007667444,6.365451913240805,13.224538160160291
Dairy cattle farming,AA131,14625.243681225025,14579.969811507135,45.27386971788981,0.5005778676683039,7321.073296076959,7298.410198912485,22.66309716447388,13.405008872630475,9.258088291843402,21.243163547383173
"Poultry, deer, and other livestock farming",,1686.4452467721267,1678.9794053876415,7.46584138448537,0.332035595105673,559.9598511251166,557.4809260380545,2.4789250870621613,1.379471289254799,1.0994537978073622,3.225215435980103
Forestry and logging,AA211,5865.201495251384,5851.779939015327,13.421556236056439,0.30035010134512624,1761.613863508339,1757.58269773263,4.031165775708862,0.8245378309798947,3.2066279447289676,1.7309480163857909
Fishing and aquaculture,,1451.1437026816147,1446.4073612582856,4.7363414233291365,0.35635179153094465,517.1176582194419,515.4298544679364,1.6878037515055622,0.7670187218607601,0.920785029644802,1.5961305287330056
"Agriculture, forestry, and fishing support services",,5362.168593683147,5333.087430536644,29.081163146503087,0.4612341772151899,2473.215419396578,2459.80219304024,13.413226356338054,10.775063635404162,2.6381627209338916,16.018402554681828
Coal mining,BB111,494.7948360294021,490.4829880246992,4.311848004702952,0.41386138613861384,204.7764766933565,202.99196930131114,1.78450739204538,1.4454913015275275,0.3390160905178526,2.7542677010845336
Oil and gas extraction,BB112,2975.2565397453927,2965.218108166358,10.038431579035056,0.5343401654081266,1589.7990715791636,1584.4351343887838,5.363937190379753,0.9218466850430324,4.44209050533672,1.3411097065138362
Metal ore and non-metallic mineral mining and quarrying,BB113,1810.9905680292068,1791.0346266143297,19.955941414877145,0.5344224037339557,967.8339325056905,957.1690303259779,10.664902179712639,8.858976709016748,1.8059254706958907,13.126082094839923
Exploration and other mining support services,BB114,546.2507344798876,540.7238025295659,5.526931950321641,0.3818525519848771,208.58723698475853,206.47676391488147,2.1104730698770724,1.5533432616828744,0.5571298081941983,3.1498428239289438
Meat and meat product manufacturing,CC111,13122.800609269472,13008.286229249163,114.5143800203096,0.1862030730239189,2443.5058001261314,2422.182870660921,21.32292946521051,14.804485887817624,6.518443577392887,61.59404276899471
Seafood processing,CC121,1697.4167766137036,1681.9881538200991,15.428622793604504,0.34279096699478867,581.8591382485887,576.5703457217711,5.2887925268175255,4.335562645645091,0.9532298811724343,8.771705324990426
Dairy product manufacturing,CC131,24943.432234856882,24842.14554607477,101.28668878210878,0.157542273564373,3929.6450247782223,3913.6880895456825,15.956935232540493,6.260842772251238,9.696092460289254,29.731731999407845
"Fruit, oil, cereal, and other food product manufacturing",,7824.742528301136,7742.894450791507,81.84807750962922,0.32566630156991605,2548.254959928665,2521.5997992354964,26.65516069316877,20.134339009281764,6.520821683887008,45.81577304479425
Beverage and tobacco product manufacturing,CC151,5037.7233904767445,4999.123013608712,38.600376868031994,0.2839689004072566,1430.5567717495976,1419.595465175077,10.961306574520748,5.944489388334778,5.016817186185969,16.312308642284705
Textile and leather manufacturing,CC211,1435.9096764837916,1431.0940093898535,4.8156670939381865,0.3102971665514858,445.55870403678125,444.064416182477,1.494287854304247,0.5708861551863269,0.9234016991179202,1.3631597086293434
"Clothing, knitted products, and footwear manufacturing",,354.1664367825826,353.0070760831023,1.1593606994802934,0.4081145584725537,144.54047897332126,144.06732699334245,0.4731519799788309,0.2880942315659958,0.1850577484128351,0.5610766372949484
Wood product manufacturing,CC311,5793.184537644188,5737.104665690032,56.07987195415566,0.29581245526127414,1713.6961418621763,1697.1070172486795,16.58912461349665,13.279782937114232,3.3093416763824193,29.876847629763855
"Pulp, paper, and converted paper product manufacturing",,3200.0346375973604,3182.7981571196337,17.236480477726797,0.19141323792486584,612.5289914542354,609.229700915565,3.2992905386704248,1.8353836092697249,1.4639069294006997,6.923629681466935
Printing,CC411,1490.8929748565222,1478.2007039639914,12.692270892530908,0.44972826086956524,670.4967047248762,664.7886318098929,5.7080729149833305,4.8207600109476285,0.8873129040357023,8.216258706515665
Petroleum and coal product manufacturing,CC511,2860.8728371749057,2856.8617276889554,4.0111094859504215,0.178191856452726,509.7842419313738,509.06949488563714,0.714747045736645,0.028346134133883823,0.6864009116027613,0.12435228975202438
Basic chemical and basic polymer manufacturing,CC521,1530.274861813226,1526.0289513787125,4.245910434513367,0.2754374594944913,421.4950202661187,420.3255374827951,1.1694827833235135,0.43757848926591486,0.7319042940575986,1.2409887930236505
Fertiliser and pesticide manufacturing,CC522,1313.8714105354852,1309.7676037825147,4.103806752970428,0.2481527093596059,326.04075027450773,325.02237951006987,1.0183707644378586,0.44554688940032683,0.5728238750375316,1.1597247436379559
"Pharmaceutical, cleaning, and other chemical manufacturing",,1601.109038254474,1591.0098824294555,10.099155825018482,0.32685904550499445,523.336971993277,520.0359715599052,3.3010004333717458,2.270928223210747,1.030072210160999,5.392677615707689
Polymer product and rubber product manufacturing,CC531,3318.416615325536,3299.907960092611,18.508655232924827,0.40855614973262033,1355.759515566155,1348.1976906474627,7.561824918692284,5.0873236961761465,2.4745012225161367,9.601513357914797
Non-metallic mineral product manufacturing,CC611,3138.105327162549,3126.1948033105778,11.910523851971599,0.3544891640866873,1112.4243342418324,1108.2021825977124,4.222151644119963,1.0545625158318352,3.1675891282881277,2.2304190144449545
Primary metal and metal product manufacturing,CC711,2689.47446403552,2643.992368263441,45.48209577207908,0.1661529840291398,446.86420766967314,439.3072217372431,7.556985932430061,6.6280575441441485,0.9289283882859131,30.434718042764835
Fabricated metal product manufacturing,CC721,6346.336573035555,6039.416218465163,306.9203545703923,0.3606653049314269,2288.9034153113353,2178.2078920405434,110.6955232707922,105.19487794553119,5.500645325261009,203.19027019476013
Transport equipment manufacturing,CC811,2365.2105898181585,2358.322176753018,6.888413065140265,0.3175754739059209,751.1328739488043,748.9452829051826,2.187591043621657,1.2260745466850436,0.9615164969366131,2.9672222164173743
Electronic and electrical equipment manufacturing,CC821,4292.2050780278005,4281.368141142093,10.836936885707345,0.5041161178509532,2163.769760955523,2158.306686403304,5.463074552218585,2.300627213569706,3.16244733864888,3.4734245393147383
Machinery manufacturing,CC822,3666.8643462166224,3644.9072704325918,21.957075784030664,0.44090796940537874,1616.7497129753526,1607.0686632773356,9.681049698016974,2.617073539189135,7.063976158827839,4.631723513624072
Furniture manufacturing,CC911,1250.345064540436,1242.2755050531948,8.0695594872412,0.40271493212669685,503.532627801352,500.28289570015534,3.2497321011966824,0.7492222896883708,2.5005098115083118,1.467140968814948
Other manufacturing,CC912,704.4865166845406,701.7991217310802,2.687394953460424,0.3849056603773585,271.16084793140806,270.12645440215164,1.0343935292564652,0.3476329941410559,0.6867605351154091,0.71851549943669
Electricity generation and on-selling,DD111,13931.659431651035,13918.061626490751,13.597805160283277,0.26820146276595747,3736.491438325955,3732.8444870915605,3.64695123439446,0.6142680990478383,3.032683135346622,1.0113068333225028
Electricity transmission and distribution,DD112,5599.134547203223,5593.560038649781,5.574508553442083,0.6158536585365854,3448.247495533692,3444.814414046511,3.433081487180795,1.1304805503858035,2.3026009367949913,1.3592324036358923
Gas and water supply,,3430.518859910221,3425.390166319747,5.128693590474133,0.414780292942743,1422.9116176591663,1420.784336629296,2.127281029870429,0.41174176058838746,1.7155392692820417,0.6594098853799963
Sewerage and drainage services,DD122,850.4659114387338,848.8942432112472,1.5716682274866733,0.4909090909090909,417.5014474335602,416.72990121279406,0.7715462207661851,0.3901461591810137,0.3814000615851714,0.579176491900177
"Waste collection, treatment, and disposal services",,2602.2710810973317,2595.2889725620857,6.982108535245631,0.4132505175983437,1075.3898711946738,1072.5045112285554,2.8853599661180707,1.4829223720784022,1.4024375940396683,2.093490869675144
Residential building construction,EE112,20629.39911918761,20526.46384939759,102.93526979001876,0.21897810218978103,4517.386668435242,4494.846098408231,22.54057002701141,2.916527021089247,19.62404300592216,8.89338648783597
Non-residential building construction,EE113,9178.984363554486,9118.242704540533,60.741659013953345,0.14383775351014041,1320.2844903583832,1311.5475465813374,8.736943777046019,0.5639722687851553,8.172971508260863,2.9073303606391727
Heavy and civil engineering construction,EE121,14677.449917276812,14608.012591574538,69.4373257022753,0.33009975920192636,4845.022683391409,4822.101438897463,22.92124449394681,4.929562494774603,17.991681999172204,10.105366362367997
Construction services,EE131,28350.08056876458,28230.376609361665,119.70395940291483,0.41023945426701935,11630.321580956012,11581.214293976958,49.10728697905322,14.897909809826288,34.20937716922693,25.11078430414398
Basic material wholesaling,FF111,7508.268199710489,7486.868014413617,21.40018529687182,0.3844652070840887,2886.667888244571,2878.4402615727713,8.227626671799694,2.6083779210527847,5.619248750746908,5.258556041680229
Machinery and equipment wholesaling,FF112,8264.548142789843,8249.369568286085,15.178574503758076,0.560219957081545,4629.964805852089,4621.461465495035,8.503340357054382,4.13828823517086,4.365052121883523,5.839388354997449
"Motor vehicle wholesaling, including parts",,2085.2326117925213,2081.4302336841965,3.8023781083247146,0.5709812108559499,1190.6286415976087,1188.4575551411854,2.1710864564234016,1.1366826709826632,1.0344037854407384,1.5824497709241643
"Grocery, liquor, and tobacco product wholesaling",,7588.825598025307,7572.54965899932,16.275939025987476,0.37330478229835834,2832.9448877710465,2826.869001896249,6.075885874797609,2.5859054214296346,3.4899804533679744,5.393953849316487
Other goods and commission based wholesaling,,7995.574615810914,7981.159901936922,14.414713873991712,0.5365485023358065,4290.013585427538,4282.279392286848,7.734193140689425,3.181411022036071,4.552782118653354,4.681866851755634
"Motor vehicle retailing, including parts",,3094.499869869582,3086.198265329223,8.3016045403592,0.6439285714285714,1992.63688049102,1987.2912401387816,5.345640352238442,2.9925480709544536,2.3530922812839883,3.6950660043888903
Fuel retailing,GH112,850.301143543785,847.2496277286156,3.0515158151693558,0.6104725415070242,519.0855001455035,517.2226335303682,1.8628666151353155,1.2332724902223393,0.6295941249129762,1.6095334270399149
Supermarket and grocery stores,GH121,5667.220870365167,5646.323498502175,20.897371862991147,0.6678408619975135,3784.8016711949713,3770.845552356509,13.956118838462592,10.867410544027155,3.0887082944354365,12.937886516422779
Specialised food retailing,GH122,1209.4905899183643,1205.2441535133407,4.246436405023696,0.5872420262664165,710.2637047738237,707.7700188549261,2.493685918897593,1.72419739894897,0.7694885199486226,2.3392597891007982
"Furniture, electrical, and hardware retailing",,5693.205026701771,5678.425123473389,14.779903228382281,0.6553147574819401,3730.8412713680336,3721.1557826683197,9.685488699713877,6.843537426586196,2.8419512731276813,8.310404922930221
"Recreational, clothing, footwear, and personal accessory retailing",,3572.1230189437497,3560.318003977061,11.805014966688736,0.533974358974359,1907.4220992180408,1901.1185239185202,6.303575299520331,4.522584560199271,1.7809907393210596,6.738872947123726
Department stores,GH133,2407.7548335139845,2401.646117431009,6.108716082975488,0.5792007703418391,1394.5734543655867,1391.0352813045274,3.5381730610589845,2.354979617773039,1.1831934432859454,3.2390797285783464
Pharmaceutical and other store based retailing,GH134,3258.7123046634715,3248.5361712820923,10.176133381379287,0.5206696276050564,1696.712522141145,1691.4141185630026,5.298403578142137,3.673862790905721,1.6245407872364166,5.597924906166487
Non-store and commission based retailing,GH135,981.160571163528,979.3556694438428,1.8049017196852246,0.46889400921658986,460.0603138981059,459.2140062945208,0.8463076035851225,0.324617618388124,0.5216899851969986,0.5515473889344494
Accommodation,GH211,4537.893159699569,4518.27895632016,19.614203379408764,0.5093226339391078,2311.251696632445,2301.261738904627,9.98995772781782,6.124912803809463,3.8650449240083584,9.561270359036698
Food and beverage services,GH212,11296.289860116993,11239.408939339068,56.880920777925645,0.45179268066134126,5103.581077429784,5077.88269375304,25.698383676744413,16.464477758080115,9.233905918664298,28.967090687022036
Road transport,II111,9359.871925841971,9344.459851343172,15.412074498799624,0.4003602076491154,3747.3202677992176,3741.1498864525747,6.170381346643053,2.4890224455966568,3.6813589010463965,4.41861098884782
Rail transport,II121,540.6732683081793,539.4874059794753,1.185862328704065,0.17559523809523808,94.9396512803053,94.73141950234833,0.20823177795696382,0.05265028953576652,0.1555814884211973,0.2376274250525833
Water transport,II122,739.7449860556442,738.8005107456265,0.9444753100176188,0.3871428571428571,286.3869874586851,286.021340588664,0.3656468700211067,0.15874776782482733,0.20689910219627938,0.31989870441961926
Air and space transport,II123,5735.100295119452,5726.58084797118,8.519447148272187,0.3012610929472209,1727.7625830696154,1725.1960051104209,2.5665779591945634,0.37245141450678504,2.1941265446877787,0.9725297197765457
Other transport,II125,928.5321574398157,926.9466949021642,1.5854625376515052,0.504524886877828,468.4675816947486,467.6676763872909,0.7999053074576599,0.32943793087152834,0.4704673765861315,0.5164135803906469
Postal and courier services,,2651.1982208446657,2647.1245160195026,4.073704825163252,0.41483630335681726,1099.813269401372,1098.1233487507345,1.6899206506375528,0.7308965971459349,0.9590240534916179,1.1230179336096129
Transport support services,II132,8243.027843222966,8236.808765838443,6.219077384522083,0.7030643072939146,5795.378660600005,5791.006249266648,4.372411333356268,1.835671012894969,2.5367403204612993,1.9649913154845016
Warehousing and storage services,II133,1417.156660283312,1415.1679649827663,1.9886953005456154,0.48119723714504986,681.9318695300357,680.9749148458899,0.9569546841458947,0.332021064832275,0.6249336193136197,0.523416086675544
Publishing (except internet and music publishing),JJ111,1409.0392001672049,1405.4606466947414,3.5785534724635917,0.5789889415481833,815.8181151047087,813.7461722174135,2.0719428872952705,1.0092862846406059,1.0626566026546647,1.3708220137447515
Motion picture and sound recording activities,JJ112,2201.659107800419,2198.300247534108,3.358860266310846,0.30318895763921944,667.5187299709028,666.5003606279042,1.0183693429985763,0.3584636388321093,0.659905704166467,0.7046956817160538
Broadcasting and internet publishing,JJ113,1644.8117985544845,1641.812315623192,2.999482931292451,0.3275552898983861,538.7668055038,537.7843090026953,0.9824965011047598,0.408057594742792,0.5744389063619678,0.9815112132680838
Telecommunications services,JJ121,7779.296029055556,7772.532139904092,6.7638891514630854,0.5545743066096316,4314.197701224545,4310.446622088388,3.7510791361570495,1.4262788312006358,2.3248003049564137,1.8331046108512186
"Internet service providers, web search portals and data processing services",JJ122,1642.9198592850664,1640.9770095782876,1.9428497067787212,0.5414634146341464,889.5809969787433,888.52901494239,1.0519820363533563,0.4926873163617852,0.5592947199915712,0.6991838784374365
Library and other information services,JJ123,441.91398145327753,440.5033308522852,1.4106506009923077,0.7191601049868767,317.80690529710773,316.7924216627983,1.0144836343094286,0.8454996749482402,0.1689839593611884,0.9339687170502649
Banking and financing; financial asset investing,,17316.300400980377,17297.29369361062,19.006707369758285,0.6189134281407693,10717.290843886143,10705.527337470257,11.763506415885525,5.618896733805478,6.1446096820800475,6.701396021333851
