Description,NZSIOC,Original Output,Shocked Output,Output Loss,Value Added to Output Ratio,Original GDP Estimate,Shocked GDP Estimate,Loss,Direct Loss,Indirect Loss,Direct VoLL Loss,GDP Propagation Difference
Horticulture and fruit growing,AA111,7004.048311799139,6955.502617034438,48.54569476470117,0.42810457516339867,2998.46512694669,2977.6824929134355,20.78263403325442,12.018464369414836,8.764169663839583,27.766852295597356,-6.984218262342935
"Sheep, beef cattle, and grain farming",,9170.768871856195,9136.758342383506,34.010529472689754,0.4252711496746204,3900.0634215345053,3885.599724564612,14.46369696989333,7.81340838678157,6.6502885831117595,15.776271028628514,-1.3125740587351835
Dairy cattle farming,AA131,12317.788763927345,12282.900865737363,34.88789818998173,0.5005778676683039,6166.0124338353435,6148.548324151973,17.464109683369934,9.481343786207349,7.982765897162585,18.856700652679642,-1.3925909693097083
"Poultry, deer, and other livestock farming",,4889.683628482485,4866.256831295622,23.426797186863038,0.332035595105673,1623.5490134616482,1615.770482916288,7.778530545359975,1.522079219113406,6.2564513262465695,4.466085633884925,3.3124449114750503
Forestry and logging,AA211,7724.059045052872,7691.048715452505,33.01032960036691,0.30035010134512624,2319.921916977369,2310.007261136463,9.91465584090622,1.6319333495452586,8.282722491360962,4.299516127228355,5.615139713677866
Fishing and aquaculture,,4091.190726280497,4070.4262007263287,20.76452555416835,0.35635179153094465,1457.9031448048415,1450.5036689233236,7.399475881517974,1.859927734845017,5.539548146672956,4.85738174250131,2.5420941390166636
"Agriculture, forestry, and fishing support services",,6688.321036497793,6638.590504177496,49.73053232029695,0.4612341772151899,3084.8822502201056,3061.94482906288,22.93742115722557,15.58502832290324,7.352392834322332,29.077072652827674,-6.139651495602102
Coal mining,BB111,4241.3222224874635,4221.7347477114645,19.58747477599875,0.41386138613861384,1755.319494059168,1747.212994597418,8.106499461749976,0.24555301775255464,7.860946443997422,0.5871913756631808,7.519308086086795
Oil and gas extraction,BB112,4937.689732949785,4921.989430816775,15.700302133010103,0.5343401654081266,2638.4059486383967,2630.0166465996863,8.38930203871018,0.881707790334675,7.507594248375506,1.6098077406642894,6.779494298045892
Metal ore and non-metallic mineral mining and quarrying,BB113,4372.33772800718,4350.079541082218,22.258186924961073,0.5344224037339557,2336.6752385382597,2324.779964779062,11.895273759197398,3.8510564771364626,8.044217282060936,7.161024669049283,4.734249090148115
Exploration and other mining support services,BB114,4849.214964566506,4825.588046630979,23.626917935526905,0.3818525519848771,1851.6851093429757,1842.6631104337573,9.021998909218214,0.760007376952505,8.261991532265709,1.9341180542997998,7.087880854918414
Meat and meat product manufacturing,CC111,9798.87978704646,9746.936111938685,51.94367510777527,0.1862030730239189,1824.5815285400147,1814.9094566107908,9.672071929223796,4.573024492554608,5.0990474366691885,23.877707792903745,-14.20563586367995
Seafood processing,CC121,4319.5783650373405,4299.538042228964,20.040322808377386,0.34279096699478867,1480.7124447609183,1473.8428031265469,6.869641634371403,1.2528852608738337,5.616756373497569,3.181219191570728,3.688422442800675
Dairy product manufacturing,CC131,13868.134087467164,13831.836026451881,36.298061015282514,0.157542273564373,2184.8173742351582,2179.0988951768327,5.718479058325941,1.2665607697778156,4.451918288548125,7.548439348500578,-1.829960290174637
"Fruit, oil, cereal, and other food product manufacturing",,7913.509666113383,7868.9784118998505,44.53125421353223,0.32566630156991605,2577.1634254009264,2562.661096536936,14.502328863990781,8.008208147357317,6.494120716633464,22.869502681021956,-8.367173817031174
Beverage and tobacco product manufacturing,CC151,6529.068289645078,6500.344387259955,28.72390238512375,0.2839689004072566,1854.0523428944002,1845.8956479186913,8.156694975708966,1.6568856350707735,6.499809340638192,5.706070490459066,2.4506244852499
Textile and leather manufacturing,CC211,5473.559756779593,5448.217971285065,25.341785494528448,0.3102971665514858,1698.4300834789478,1690.56659924464,7.8634842343077205,1.6727372411923638,6.190746993115357,5.0126650067631955,2.850819227544525
"Clothing, knitted products, and footwear manufacturing",,2836.931500071957,2823.383057593763,13.548442478194104,0.4081145584725537,1157.7930465687461,1152.2637299487671,5.529316619978978,0.9200071621944705,4.609309457784507,2.248653592149529,3.280663027829449
Wood product manufacturing,CC311,7169.7150410075255,7134.145317670957,35.569723336567904,0.29581245526127414,2120.891009804123,2110.369042610969,10.521967193154392,4.1444693731797315,6.37749781997466,11.70190198865595,-1.1799347955015573
"Pulp, paper, and converted paper product manufacturing",,6484.245492833766,6454.546371357048,29.699121476717693,0.19141323792486584,1241.1704252830284,1235.485620277646,5.684805005382456,0.7115038762843028,4.973301129098154,3.3684335040140354,2.3163715013684207
Printing,CC411,4262.619994968813,4243.580325572248,19.039669396565888,0.44972826086956524,1917.0206770851594,1908.4579996799105,8.56267740524906,1.8210799065310133,6.741597498718048,3.89521399575246,4.6674634094966
