Description,NZSIOC,Direct Loss,Indirect Loss,Loss
Horticulture and fruit growing,AA111,9.471884640165626,16.73395452861132,26.205839168776947
"Sheep, beef cattle, and grain farming",,13.065431804990567,16.979863938493054,30.04529574348362
Dairy cattle farming,AA131,21.169678648505396,15.083959469203364,36.25363811770876
"Poultry, deer, and other livestock farming",,2.0428719207189943,18.874120578543057,20.91699249926205
Forestry and logging,AA211,7.031709038703184,22.671599989859033,29.703309028562217
Fishing and aquaculture,,4.211820117260459,16.57262191063478,20.78444202789524
"Agriculture, forestry, and fishing support services",,8.433750323080858,15.79543521809228,24.229185541173138
Coal mining,BB111,0.2543304515219802,18.44966108712748,18.70399153864946
Oil and gas extraction,BB112,4.885479452054824,13.817295279212885,18.70277473126771
Metal ore and non-metallic mineral mining and quarrying,BB113,1.9836985495830959,14.193322321830692,16.177020871413788
Exploration and other mining support services,BB114,0.5688635428302575,20.12178193106982,20.690645473900076
Meat and meat product manufacturing,CC111,8.87769927379668,24.78231661810605,33.66001589190273
Seafood processing,CC121,3.2170943192419372,16.912046012180667,20.129140331422605
Dairy product manufacturing,CC131,11.940240238134265,29.56144320080466,41.501683438938926
"Fruit, oil, cereal, and other food product manufacturing",,12.227602026730438,20.566535678891796,32.794137705622234
Beverage and tobacco product manufacturing,CC151,5.734704178099946,21.451388181260427,27.186092359360373
Textile and leather manufacturing,CC211,2.232384598688043,20.348590214395188,22.58097481308323
"Clothing, knitted products, and footwear manufacturing",,0.8138479356818777,14.088566350190632,14.90241428587251
Wood product manufacturing,CC311,7.640348515863252,21.66982777254657,29.31017628840982
"Pulp, paper, and converted paper product manufacturing",,3.021862337918378,25.60954726640955,28.631409604327928
Printing,CC411,3.0428318956750218,15.523120243797734,18.565952139472756
Petroleum and coal product manufacturing,CC511,6.889298096738912,17.625286961556867,24.51458505829578
Basic chemical and basic polymer manufacturing,CC521,1.7489970821230258,17.36435655309782,19.113353635220847
Fertiliser and pesticide manufacturing,CC522,1.6876277906989117,18.92906212251694,20.61668991321585
"Pharmaceutical, cleaning, and other chemical manufacturing",,3.3318929931052708,18.8778058395759,22.20969883268117
Polymer product and rubber product manufacturing,CC531,7.158526895243995,14.673424969066218,21.831951864310213
Non-metallic mineral product manufacturing,CC611,4.967142206442759,19.35928298644035,24.326425192883107
Primary metal and metal product manufacturing,CC711,2.64725566636082,24.793835053124326,27.441090719485146
Fabricated metal product manufacturing,CC721,12.137814291369523,19.464936395828317,31.60275068719784
Transport equipment manufacturing,CC811,6.604347840661376,10.15921221374083,16.763560054402205
Electronic and electrical equipment manufacturing,CC821,11.209611791516181,12.199252753860492,23.408864545376673
Machinery manufacturing,CC822,8.447364136614624,15.452935916836623,23.900300053451247
Furniture manufacturing,CC911,2.501801927990755,17.11628694168735,19.618088869678104
Other manufacturing,CC912,1.5670213367535553,16.606225146969678,18.173246483723233
Electricity generation and on-selling,DD111,13.049162192967287,24.96405194560566,38.01321413857295
Electricity transmission and distribution,DD112,11.228695025234629,15.297356792583741,26.52605181781837
Gas and water supply,,5.189920045422014,15.270590604205381,20.460510649627395
Sewerage and drainage services,DD122,1.573372693726924,15.617437787736435,17.19081048146336
"Waste collection, treatment, and disposal services",,4.682546076306721,15.782199723526787,20.46474579983351
Residential building construction,EE112,20.68103231089208,44.2988969275475,64.97992923843958
Non-residential building construction,EE113,6.383738556935896,49.05518446774204,55.43892302467793
Heavy and civil engineering construction,EE121,21.89646517591882,32.45921470762278,54.3556798835416
Construction services,EE131,54.83739285121919,24.573651796647027,79.41104464786622
Basic material wholesaling,FF111,13.143828355094684,19.997722772251564,33.14155112734625
Machinery and equipment wholesaling,FF112,19.189876724851274,14.987259612775233,34.17713633762651
"Motor vehicle wholesaling, including parts",,4.819076951565648,14.032990070759524,18.852067022325173
"Grocery, liquor, and tobacco product wholesaling",,12.724144578750838,22.588249590372925,35.31239416912376
Other goods and commission based wholesaling,,17.66647950753577,15.313246145386984,32.97972565292275
"Motor vehicle retailing, including parts",,8.52277851516601,12.411144059473827,20.933922574639837
Fuel retailing,GH112,2.1572548826230786,15.328950148568197,17.486205031191275
Supermarket and grocery stores,GH121,14.86297398841225,12.243981405471004,27.106955393883254
Specialised food retailing,GH122,2.979892051952561,14.77667684881942,17.75656890077198
"Furniture, electrical, and hardware retailing",,14.638811133375839,13.35597352725972,27.99478466063556
"Recreational, clothing, footwear, and personal accessory retailing",,7.874006048836236,18.29655326960892,26.170559318445157
Department stores,GH133,5.652870241483015,16.383234963655468,22.036105205138483
Pharmaceutical and other store based retailing,GH134,7.1557507895010986,18.315050668793674,25.470801458294773
Non-store and commission based retailing,GH135,1.7496493531778015,21.347776398458564,23.097425751636365
Accommodation,GH211,8.149097815648474,16.586335140241772,24.735432955890246
Food and beverage services,GH212,22.28899508354607,18.24715648838628,40.53615157193235
Road transport,II111,16.905869890036684,18.071784610565828,34.97765450060251
Rail transport,II121,0.48183536337664634,23.589131538857785,24.07096690223443
Water transport,II122,0.9497761130136837,19.030117128855238,19.979893241868922
Air and space transport,II123,8.705534296433825,19.429010737210092,28.134545033643917
Other transport,II125,1.495394651011111,14.886191940443268,16.38158659145438
Postal and courier services,,4.783310299211507,16.805280072502,21.588590371713508
Transport support services,II132,23.32026816718735,11.683383133403368,35.00365130059072
Warehousing and storage services,II133,2.890706324833559,16.933441631304845,19.824147956138404
Publishing (except internet and music publishing),JJ111,2.8924855772812634,11.565160404221729,14.457645981502992
Motion picture and sound recording activities,JJ112,2.711833603468449,20.488242263657185,23.200075867125634
Broadcasting and internet publishing,JJ113,2.0569614127839486,21.93784328628726,23.99480469907121
Telecommunications services,JJ121,18.38696696905754,14.803936461034937,33.190903430092476
"Internet service providers, web search portals and data processing services",JJ122,2.9338117092748917,15.442883447101735,18.376695156376627
Library and other information services,JJ123,1.312098920211156,8.75558312475232,10.067682044963476
Banking and financing; financial asset investing,,38.497611260308986,14.936264357535038,53.43387561784402
Life insurance,KK121,1.802330372913957,21.74676469775136,23.549095070665317
Health and general insurance,KK122,15.683190240155454,16.129367025116153,31.812557265271607
Superannuation and individual pension services,,0.07232876712328817,38.36619838339106,38.438527150514346
