Description,NZSIOC,Original Output,Shocked Output,Output Loss,Value Added to Output Ratio,Original GDP Estimate,Shocked GDP Estimate,Loss,Direct Loss,Indirect Loss
Horticulture and fruit growing,AA111,7004.048311799134,6973.460688663577,30.58762313555778,0.42810457516339867,2998.465126946688,2985.370425538982,13.09470140770611,5.528148514655361,7.566552893050749
"Sheep, beef cattle, and grain farming",,9170.768871856199,9136.414110401327,34.35476145487093,0.4252711496746204,3900.0634215345067,3885.453332633796,14.610088900710293,8.230844050127665,6.379244850582628
Dairy cattle farming,AA131,12317.788763927343,12275.424529029564,42.36423489777904,0.5005778676683039,6166.012433835343,6144.805835464812,21.20659837052938,13.358637920429171,7.847960450100207
"Poultry, deer, and other livestock farming",,4889.683628482485,4869.235391012572,20.448237469912193,0.332035595105673,1623.5490134616482,1616.7594707644637,6.789542697184415,0.8619806168711389,5.927562080313276
Forestry and logging,AA211,7724.05904505287,7690.154963073071,33.90408197979866,0.30035010134512624,2319.9219169773683,2309.7388225187224,10.183094458645995,3.34955762043044,6.833536838215554
Fishing and aquaculture,,4091.190726280498,4070.733993094232,20.45673318626598,0.35635179153094465,1457.9031448048422,1450.6133512850456,7.289793519796411,1.8391839158258687,5.450609603970542
"Agriculture, forestry, and fishing support services",,6688.321036497794,6660.960240679658,27.3607958181358,0.4612341772151899,3084.882250220106,3072.2625160729754,12.619734147130675,5.755079466414429,6.864654680716245
Coal mining,BB111,4241.322222487463,4222.729547764191,18.592674723272243,0.41386138613861384,1755.3194940591677,1747.6247039261698,7.694790132997819,0.1334773868363742,7.5613127461614456
Oil and gas extraction,BB112,4937.689732949786,4917.228830745991,20.460902203794774,0.5343401654081266,2638.405948638397,2627.472866770422,10.9330818679752,3.3581615402886045,7.574920327686596
Metal ore and non-metallic mineral mining and quarrying,BB113,4372.33772800718,4354.336161896915,18.001566110265323,0.5344224037339557,2336.6752385382597,2327.054798306636,9.620440231623709,1.7667499880671758,7.853690243556533
Exploration and other mining support services,BB114,4849.214964566506,4827.2603187665,21.954645800006418,0.3818525519848771,1851.6851093429757,1843.3016718163194,8.383437526656515,0.3222375017930409,8.061200024863473
Meat and meat product manufacturing,CC111,9798.87978704646,9760.62176788741,38.25801915905023,0.1862030730239189,1824.581528540015,1817.457767804792,7.123760735223118,2.133806577823316,4.9899541573998025
