Description,NZSIOC,Original Output,Shocked Output,Loss,Direct Loss,Indirect Loss
Horticulture and fruit growing,AA111,6164.277313992824,6150.940642011945,13.336671980879146,5.110350744214884,8.226321236664262
"Sheep, beef cattle, and grain farming",,7984.108416380915,7967.062318252416,17.04609812849867,8.340086458567384,8.706011669931286
Dairy cattle farming,AA131,10395.10504895253,10374.683291830468,20.421757122061535,12.956547699081057,7.465209422980479
"Poultry, deer, and other livestock farming",,4968.636997335923,4958.057337546457,10.57965978946595,1.2008663129746537,9.378793476491296
Forestry and logging,AA211,6758.945241876287,6744.343941973586,14.601299902700703,3.5554417658670445,11.045858136833658
Fishing and aquaculture,,4162.947025158909,4154.817706009757,8.129319149152252,0.5116516777068227,7.617667471445429
"Agriculture, forestry, and fishing support services",,5908.587505082643,5895.823816629865,12.763688452777387,5.069591081859926,7.694097370917461
Coal mining,BB111,4248.744564981245,4239.881431840707,8.863133140538594,0.16955363434797732,8.693579506190616
Oil and gas extraction,BB112,4506.667410980047,4496.855758470669,9.811652509378291,3.256986301369807,6.554666208008484
Metal ore and non-metallic mineral mining and quarrying,BB113,4053.9053129176573,4045.669214972105,8.236097945552501,1.468833574941641,6.76726437061086
Exploration and other mining support services,BB114,4620.08736386429,4610.233272722757,9.85409114153299,0.31862610797745106,9.535465033555539
Meat and meat product manufacturing,CC111,8596.119406828715,8578.568733158567,17.55067367014817,4.262304480885177,13.288369189262994
Seafood processing,CC121,4262.365639606111,4254.330458001616,8.035181604494937,0.42204742966566755,7.61313417482927
Dairy product manufacturing,CC131,11851.736574976458,11829.1215552955,22.61501968095763,6.494975003644868,16.120044677312762
"Fruit, oil, cereal, and other food product manufacturing",,7393.895250126124,7378.012832261227,15.882417864896524,5.771779925375995,10.11063793952053
Beverage and tobacco product manufacturing,CC151,6377.488029601834,6363.896032576725,13.591997025108867,3.0983225798267995,10.493674445282068
Textile and leather manufacturing,CC211,5301.244798680549,5289.800065321999,11.444733358550366,1.0299324736637345,10.414800884886631
"Clothing, knitted products, and footwear manufacturing",,3339.319301890554,3332.159930362136,7.159371528417978,0.34763982200504984,6.811731706412928
Wood product manufacturing,CC311,6497.340506474585,6483.910504174067,13.430002300518026,3.06722802402669,10.362774276491336
