Description,NZSIOC,Original Output,Shocked Output,Output Loss,Value Added to Output Ratio,Original GDP Estimate,Shocked GDP Estimate,Loss,Direct Loss,Indirect Loss
Horticulture and fruit growing,AA111,7004.048311799139,6988.558302706034,15.490009093105677,0.42810457516339867,2998.46512694669,2991.833783184609,6.631343762081188,8.69343217726777,-2.0620884151865826
"Sheep, beef cattle, and grain farming",,9170.768871856195,9158.425988007537,12.342883848658794,0.4252711496746204,3900.0634215345053,3894.814349129886,5.249072404619429,6.23745382832954,-0.9883814237101122
Dairy cattle farming,AA131,12317.788763927345,12305.783878386232,12.004885541112817,0.5005778676683039,6166.0124338353435,6160.003053829571,6.009380005772306,6.763606969533157,-0.7542269637608509
"Poultry, deer, and other livestock farming",,4889.683628482485,4881.474024830812,8.209603651672776,0.332035595105673,1623.5490134616482,1620.8231328275835,2.7258806340648762,2.01758763597302,0.7082929980918562
Forestry and logging,AA211,7724.059045052872,7713.391872395622,10.667172657249528,0.30035010134512624,2319.921916977369,2316.718030588698,3.2038863886708557,1.427377404290469,1.776508984380387
Fishing and aquaculture,,4091.190726280497,4085.9326141213432,5.258112159153786,0.35635179153094465,1457.9031448048415,1456.0294071168566,1.873737687985095,0.3821300446827229,1.4916076433023722
"Agriculture, forestry, and fishing support services",,6688.321036497793,6671.076547807431,17.244488690361635,0.4612341772151899,3084.8822502201056,3076.92850266751,7.953747552595597,10.511684261947789,-2.557936709352192
Coal mining,BB111,4241.3222224874635,4234.363194660929,6.959027826533665,0.41386138613861384,1755.319494059168,1752.4394211567017,2.8800729024664076,1.0253264790426309,1.8547464234237767
Oil and gas extraction,BB112,4937.689732949785,4932.523556822662,5.166176127123364,0.5343401654081266,2638.4059486383967,2635.6454532321018,2.760495406294613,0.8049038703321447,1.9555915359624685
Metal ore and non-metallic mineral mining and quarrying,BB113,4372.33772800718,4365.130738819514,7.206989187666562,0.5344224037339557,2336.6752385382597,2332.8236620529024,3.8515764853573926,2.493304918200583,1.3582715671568097
Exploration and other mining support services,BB114,4849.214964566506,4841.722947037904,7.49201752860134,0.3818525519848771,1851.6851093429757,1848.8242633301636,2.8608460128118542,0.7118566215732098,2.1489893912386444
Meat and meat product manufacturing,CC111,9798.87978704646,9782.395747577943,16.484039468518056,0.1862030730239189,1824.5815285400147,1821.5121497351292,3.0693788048856288,6.820986487651746,-3.7516076827661173
Seafood processing,CC121,4319.5783650373405,4314.25970533657,5.318659700771319,0.34279096699478867,1480.7124447609183,1478.889256258975,1.823188501943614,0.273076409399958,1.550112092543656
Dairy product manufacturing,CC131,13868.134087467164,13854.077650246598,14.05643722056613,0.157542273564373,2184.8173742351582,2182.6028911572157,2.214483077942864,4.251915666312453,-2.0374325883695885
"Fruit, oil, cereal, and other food product manufacturing",,7913.509666113383,7899.253151057186,14.256515056196703,0.32566630156991605,2577.1634254009264,2572.520558869299,4.642866531627404,7.265851570120605,-2.6229850384932005
Beverage and tobacco product manufacturing,CC151,6529.068289645078,6519.563347591825,9.504942053253176,0.2839689004072566,1854.0523428944002,1851.3532349511033,2.6991079432969958,2.023001435600605,0.6761065076963906
Textile and leather manufacturing,CC211,5473.559756779593,5465.272864707218,8.286892072374862,0.3102971665514858,1698.4300834789478,1695.8586843493717,2.57139912957589,1.5065347169563825,1.0648644126195077
"Clothing, knitted products, and footwear manufacturing",,2836.931500071957,2832.7725063107387,4.158993761218566,0.4081145584725537,1157.7930465687461,1156.0957006661963,1.6973459025498208,0.5400921092665849,1.1572537932832356
Wood product manufacturing,CC311,7169.7150410075255,7158.772133182242,10.94290782528359,0.29581245526127414,2120.891009804123,2117.6539613726277,3.237048431494949,3.392170202484267,-0.15512177098931787
"Pulp, paper, and converted paper product manufacturing",,6484.245492833766,6474.238775874428,10.006716959337712,0.19141323792486584,1241.1704252830284,1239.255007188844,1.9154180941844996,1.5782363857484951,0.33718170843600453
Printing,CC411,4262.619994968813,4256.644392841355,5.975602127459205,0.44972826086956524,1917.0206770851594,1914.3332799327288,2.6873971524307025,1.1956908171304028,1.4917063353003002
Petroleum and coal product manufacturing,CC511,3147.252104226105,3145.014084181638,2.2380200444673206,0.178191856452726,560.814695176798,560.415898230296,0.3987969465020443,0.148134907455535,0.2506620390465093
Basic chemical and basic polymer manufacturing,CC521,4542.26693047101,4537.268272292606,4.99865817840372,0.2754374594944913,1251.110463674776,1249.7336459652352,1.3768177095408822,0.5380614794520542,0.8387562300888279
Fertiliser and pesticide manufacturing,CC522,3923.433616932489,3917.964910178886,5.468706753602903,0.2481527093596059,973.6106820343551,972.2536076367554,1.357074397599735,0.5199413424657527,0.8371330551339823
"Pharmaceutical, cleaning, and other chemical manufacturing",,4590.4670764809025,4583.362967944016,7.104108536885635,0.32685904550499445,1500.4356870406502,1498.1136449051196,2.3220421355303213,1.6394460410958887,0.6825960944344326
