Scenario,Method,Direct Loss (Bn 2026 NZD),Indirect Loss (Bn 2026 NZD),Total Loss (Bn 2026 NZD)
Scenario 1,Demand-Side Leontief (Population Shock),1.141102,0.61246,1.753562
Scenario 1,Demand-Side Leontief (Survey-Based Residential VoLL),1.143216,0.613595,1.756811
Scenario 1,Supply-Side Ghosh (% Shock),4.05059,0.348394,4.398984
Scenario 1,Supply-Side Ghosh (Survey-Based VoLL),4.412507,-0.207914,4.204594
Scenario 2,Demand-Side Leontief (Population Shock),0.486938,0.261353,0.748291
Scenario 2,Demand-Side Leontief (Survey-Based Residential VoLL),0.487924,0.261882,0.749807
Scenario 2,Supply-Side Ghosh (% Shock),1.722503,0.093857,1.816359
Scenario 2,Supply-Side Ghosh (Survey-Based VoLL),1.906738,-0.128655,1.778084
Scenario 3,Demand-Side Leontief (Population Shock),0.483986,0.259768,0.743754
Scenario 3,Demand-Side Leontief (Survey-Based Residential VoLL),0.496375,0.266418,0.762793
Scenario 3,Supply-Side Ghosh (% Shock),1.687361,0.131316,1.818678
Scenario 3,Supply-Side Ghosh (Survey-Based VoLL),1.881315,-0.097218,1.784097
Scenario 4,Demand-Side Leontief (Population Shock),0.478768,0.256968,0.735735
Scenario 4,Demand-Side Leontief (Survey-Based Residential VoLL),0.491786,0.263955,0.755741
Scenario 4,Supply-Side Ghosh (% Shock),1.671133,0.131278,1.80241
Scenario 4,Supply-Side Ghosh (Survey-Based VoLL),1.858262,-0.095029,1.763233
Scenario 5,Demand-Side Leontief (Population Shock),0.424999,0.228108,0.653107
Scenario 5,Demand-Side Leontief (Survey-Based Residential VoLL),0.433248,0.232536,0.665785
Scenario 5,Supply-Side Ghosh (% Shock),1.493542,0.129354,1.622896
Scenario 5,Supply-Side Ghosh (Survey-Based VoLL),1.654875,-0.074809,1.580066
Scenario 6,Demand-Side Leontief (Population Shock),0.218053,0.117035,0.335088
Scenario 6,Demand-Side Leontief (Survey-Based Residential VoLL),0.221894,0.119097,0.340991
Scenario 6,Supply-Side Ghosh (% Shock),0.715923,0.06191,0.777833
Scenario 6,Supply-Side Ghosh (Survey-Based VoLL),0.788439,-0.036242,0.752197
Scenario 7,Demand-Side Leontief (Population Shock),0.15913,0.085409,0.244539
Scenario 7,Demand-Side Leontief (Survey-Based Residential VoLL),0.160395,0.086089,0.246484
Scenario 7,Supply-Side Ghosh (% Shock),0.542958,0.0461,0.589059
Scenario 7,Supply-Side Ghosh (Survey-Based VoLL),0.591819,-0.027081,0.564738
