Unnamed: 0,Final Consumption Expenditure - households
Horticulture and fruit growing,769.5543043516983
"Sheep, beef cattle, and grain farming",56.74591894960777
Dairy cattle farming,15.928679003398672
"Poultry, deer, and other livestock farming",259.83657624294085
Forestry and logging,24.888560942810425
Fishing and aquaculture,165.26004466026123
"Agriculture, forestry, and fishing support services",38.82615507078426
Coal mining,6.968797063986919
Oil and gas extraction,6.968797063986919
Metal ore and non-metallic mineral mining and quarrying,50.77266432333327
Exploration and other mining support services,0.0
Meat and meat product manufacturing,2330.5648466847683
Seafood processing,236.93910017555524
Dairy product manufacturing,1771.0699966903899
"Fruit, oil, cereal, and other food product manufacturing",3365.928981905682
Beverage and tobacco product manufacturing,2112.541052825749
Textile and leather manufacturing,152.3179929699998
"Clothing, knitted products, and footwear manufacturing",84.62110720555545
Wood product manufacturing,151.32245053228738
"Pulp, paper, and converted paper product manufacturing",194.1307753539213
Printing,48.781579447908435
Petroleum and coal product manufacturing,1929.3612442866643
Basic chemical and basic polymer manufacturing,115.48292277464037
Fertiliser and pesticide manufacturing,73.67014039071886
"Pharmaceutical, cleaning, and other chemical manufacturing",362.37744732731977
Polymer product and rubber product manufacturing,285.7206796234637
Non-metallic mineral product manufacturing,235.94355773784284
Primary metal and metal product manufacturing,14.933136565686254
Fabricated metal product manufacturing,231.96138798699317
Transport equipment manufacturing,1055.274983975162
Electronic and electrical equipment manufacturing,377.310583893006
Machinery manufacturing,180.19318122594748
Furniture manufacturing,562.4814773075157
Other manufacturing,250.8766943035291
Electricity generation and on-selling,2601.3523897425457
Electricity transmission and distribution,901.9614485674498
Gas and water supply,264.8142884315029
Sewerage and drainage services,12.94205169026142
"Waste collection, treatment, and disposal services",235.94355773784284
Residential building construction,82.63002233013061
Non-residential building construction,15.928679003398672
Heavy and civil engineering construction,16.92422144111109
Construction services,311.60478300398654
Basic material wholesaling,1590.8768154644424
Machinery and equipment wholesaling,1688.4399743602592
"Motor vehicle wholesaling, including parts",605.2898021291495
"Grocery, liquor, and tobacco product wholesaling",2042.8530821858797
Other goods and commission based wholesaling,1990.0893329871217
"Motor vehicle retailing, including parts",1868.6331555862068
Fuel retailing,543.5661709909797
Supermarket and grocery stores,3579.9706060138515
Specialised food retailing,791.4562379813715
"Furniture, electrical, and hardware retailing",3504.309380747708
"Recreational, clothing, footwear, and personal accessory retailing",2319.6138798699317
Department stores,1597.8456125284292
Pharmaceutical and other store based retailing,1765.0967420641155
Non-store and commission based retailing,550.5349680549666
Accommodation,1516.2111326360111
Food and beverage services,7227.638097792147
Road transport,752.6300829105872
Rail transport,87.6077345186927
Water transport,215.0371665458821
Air and space transport,2177.251311277056
Other transport,187.1619782899344
Postal and courier services,84.62110720555545
Transport support services,409.1679418998034
Warehousing and storage services,29.86627313137251
Publishing (except internet and music publishing),166.25558709797363
Motion picture and sound recording activities,272.77862793320224
Broadcasting and internet publishing,641.1293298867965
Telecommunications services,2771.590146591369
"Internet service providers, web search portals and data processing services",224.99259092300625
Library and other information services,12.94205169026142
Banking and financing; financial asset investing,2470.936330402219
Life insurance,1764.101199626403
Health and general insurance,1708.3508231145076
Superannuation and individual pension services,296.6716464383003
Auxiliary finance and insurance services,225.98813336071865
Rental and hiring services (except real estate),534.606289051568
Non-financial asset leasing,1.991084875424834
Residential property operation,11067.44528004894
Non-residential property operation,1.991084875424834
Real estate services,57.741461387320186
Owner-occupied property operation,31099.750211698196
"Scientific, architectural, and engineering services",172.22884172424816
Legal and accounting services,363.37298976503223
"Advertising, market research, and management services",152.3179929699998
Veterinary and other professional services,466.90940328712355
Computer system design and related services,474.87374278882294
Travel agency and tour arrangement services,341.47105613535905
Employment and other administrative services,417.1322814015027
"Building cleaning, pest control, and other support services",120.46063496320247
Local government administration services,63.71471601359469
Central government administration services,330.52008932052246
Defence,79.64339501699337
"Public order, safety, and regulatory services",417.1322814015027
Preschool education,423.10553602777725
School education,824.3091384258813
Tertiary education,822.3180535504565
"Adult, community, and other education",344.4576834484963
Hospitals,1315.1115602181028
Medical and other health care services,1838.7668824548343
Residential care services and social assistance,3832.8383851928056
Heritage and artistic activities,339.4799712599342
Sport and recreation services,1428.6033981173184
Gambling activities,1577.934763774181
Repair and maintenance,1284.2497446490179
Personal services; domestic household staff,1873.6108677747688
"Religious services; civil, professional, and other interest groups",1222.526113510848
