Unnamed: 0,Final Consumption Expenditure - households
Horticulture and fruit growing,771.6996650081331
"Sheep, beef cattle, and grain farming",56.90411501353634
Dairy cattle farming,15.973084916080376
"Poultry, deer, and other livestock farming",260.56094769356116
Forestry and logging,24.95794518137559
Fishing and aquaculture,165.7207560043339
"Agriculture, forestry, and fishing support services",38.93439448294592
Coal mining,6.988224650785164
Oil and gas extraction,6.988224650785164
Metal ore and non-metallic mineral mining and quarrying,50.9142081700062
Exploration and other mining support services,0.0
Meat and meat product manufacturing,2337.06198678401
Seafood processing,237.5996381266956
Dairy product manufacturing,1776.0073791066868
"Fruit, oil, cereal, and other food product manufacturing",3375.3125063292346
Beverage and tobacco product manufacturing,2118.43038699516
Textile and leather manufacturing,152.7426245100186
"Clothing, knitted products, and footwear manufacturing",84.857013616677
Wood product manufacturing,151.74430670276357
"Pulp, paper, and converted paper product manufacturing",194.6719724147296
Printing,48.91757255549615
Petroleum and coal product manufacturing,1934.7399104602355
Basic chemical and basic polymer manufacturing,115.80486564158272
Fertiliser and pesticide manufacturing,73.87551773687174
"Pharmaceutical, cleaning, and other chemical manufacturing",363.3876818408286
Polymer product and rubber product manufacturing,286.5172106821918
Non-metallic mineral product manufacturing,236.60132031944056
Primary metal and metal product manufacturing,14.974767108825352
Fabricated metal product manufacturing,232.60804909042048
Transport equipment manufacturing,1058.216875690325
Electronic and electrical equipment manufacturing,378.3624489496539
Machinery manufacturing,180.69552311315925
Furniture manufacturing,564.0495610990882
Other manufacturing,251.57608742826594
Electricity generation and on-selling,2608.6044303573763
Electricity transmission and distribution,904.4759333730512
Gas and water supply,265.5525367298363
Sewerage and drainage services,12.978131494315306
"Waste collection, treatment, and disposal services",236.60132031944056
Residential building construction,82.86037800216695
Non-residential building construction,15.973084916080376
Heavy and civil engineering construction,16.971402723335398
Construction services,312.47347367082233
Basic material wholesaling,1595.3118559935276
Machinery and equipment wholesaling,1693.1470011045199
"Motor vehicle wholesaling, including parts",606.9772268110543
"Grocery, liquor, and tobacco product wholesaling",2048.548140487308
Other goods and commission based wholesaling,1995.637296702792
"Motor vehicle retailing, including parts",1873.842524217679
Fuel retailing,545.0815227612428
Supermarket and grocery stores,3589.9508348890645
Specialised food retailing,793.6626567677437
"Furniture, electrical, and hardware retailing",3514.0786815376828
"Recreational, clothing, footwear, and personal accessory retailing",2326.080490904205
Department stores,1602.3000806443126
Pharmaceutical and other store based retailing,1770.0174722631566
Non-store and commission based retailing,552.069747412028
Accommodation,1520.4380204494007
Food and beverage services,7247.78728067147
Road transport,754.7282622847978
Rail transport,87.85196703844207
Water transport,215.63664636708506
Air and space transport,2183.3210444667366
Other transport,187.6837477639444
Postal and courier services,84.857013616677
Transport support services,410.3086187818147
Warehousing and storage services,29.949534217650704
Publishing (except internet and music publishing),166.7190738115889
Motion picture and sound recording activities,273.53907918787644
Broadcasting and internet publishing,642.9166678722352
Telecommunications services,2779.3167753979856
"Internet service providers, web search portals and data processing services",225.61982443963532
Library and other information services,12.978131494315306
Banking and financing; financial asset investing,2477.8247976069683
Life insurance,1769.0191544559016
Health and general insurance,1713.1133572496203
Superannuation and individual pension services,297.498706561997
Auxiliary finance and insurance services,226.61814224689033
Rental and hiring services (except real estate),536.0966624959476
Non-financial asset leasing,1.996635614510047
Residential property operation,11098.299063254097
Non-residential property operation,1.996635614510047
Real estate services,57.90243282079136
Owner-occupied property operation,31186.44998083968
"Scientific, architectural, and engineering services",172.70898065511906
Legal and accounting services,364.38599964808355
"Advertising, market research, and management services",152.7426245100186
Veterinary and other professional services,468.211051602606
Computer system design and related services,476.1975940606462
Travel agency and tour arrangement services,342.4230078884731
Employment and other administrative services,418.29516123985485
"Building cleaning, pest control, and other support services",120.79645467785784
Local government administration services,63.892339664321504
Central government administration services,331.4415120086678
Defence,79.86542458040188
"Public order, safety, and regulatory services",418.29516123985485
Preschool education,424.285068083385
School education,826.6071444071595
Tertiary education,824.6105087926494
"Adult, community, and other education",345.4179613102381
Hospitals,1318.777823383886
Medical and other health care services,1843.8929900000285
Residential care services and social assistance,3843.5235579318405
Heritage and artistic activities,340.426372273963
Sport and recreation services,1432.5860534109588
Gambling activities,1582.3337244992122
Repair and maintenance,1287.8299713589804
Personal services; domestic household staff,1878.8341132539542
"Religious services; civil, professional, and other interest groups",1225.934267309169
