Description,NZSIOC,Original Output,Shocked Output,Loss
Horticulture and fruit growing,AA111,6164.277313992824,6129.311355514487,34.96595847833669
"Sheep, beef cattle, and grain farming",,7984.108416380915,7935.749708280451,48.358708100463446
Dairy cattle farming,AA131,10395.10504895253,10328.495795297527,66.60925365500225
"Poultry, deer, and other livestock farming",,4968.636997335923,4942.1290740260265,26.507923309896796
Forestry and logging,AA211,6758.945241876287,6722.403354811026,36.54188706526111
Fishing and aquaculture,,4162.947025158909,4138.362088786138,24.584936372771153
"Agriculture, forestry, and fishing support services",,5908.587505082643,5875.333303194164,33.25420188847875
Coal mining,BB111,4248.744564981245,4226.248203695622,22.496361285623607
Oil and gas extraction,BB112,4506.667410980047,4486.369340299721,20.29807068032551
Metal ore and non-metallic mineral mining and quarrying,BB113,4053.9053129176573,4031.41894463876,22.486368278897316
Exploration and other mining support services,BB114,4620.08736386429,4596.358037296517,23.72932656777266
Meat and meat product manufacturing,CC111,8596.119406828715,8544.121724644703,51.997682184011865
Seafood processing,CC121,4262.365639606111,4236.88745100005,25.47818860606094
Dairy product manufacturing,CC131,11851.736574976458,11776.019016035723,75.7175589407343
"Fruit, oil, cereal, and other food product manufacturing",,7393.895250126124,7355.0988967343455,38.79635339177821
Beverage and tobacco product manufacturing,CC151,6377.488029601834,6342.827923608301,34.66010599353285
Textile and leather manufacturing,CC211,5301.244798680549,5272.370365380139,28.87443330040969
"Clothing, knitted products, and footwear manufacturing",,3339.319301890554,3322.2246631121757,17.09463877837834
Wood product manufacturing,CC311,6497.340506474585,6462.020589834064,35.319916640521114
"Pulp, paper, and converted paper product manufacturing",,6392.315005811093,6359.677548481678,32.637457329415156
Printing,CC411,4104.283253074512,4083.355238659223,20.928014415289
Petroleum and coal product manufacturing,CC511,5177.256549031539,5149.314265265724,27.942283765814864
Basic chemical and basic polymer manufacturing,CC521,4467.180709560791,4445.712258395639,21.468451165152146
Fertiliser and pesticide manufacturing,CC522,4619.499294325011,4595.990614350121,23.508679974889674
"Pharmaceutical, cleaning, and other chemical manufacturing",,4904.879011463889,4879.037107988079,25.841903475809886
Polymer product and rubber product manufacturing,CC531,4823.438586556988,4799.975440616908,23.46314594008072
Non-metallic mineral product manufacturing,CC611,5457.816862303269,5429.747554459809,28.069307843459683
Primary metal and metal product manufacturing,CC711,6215.36910062153,6182.486069248078,32.88303137345247
Fabricated metal product manufacturing,CC721,6768.951426025005,6734.455826001402,34.4956000236034
Transport equipment manufacturing,CC811,3591.6965990462204,3572.8309346361057,18.865664410114732
Electronic and electrical equipment manufacturing,CC821,5018.87770570352,4994.120812210443,24.75689349307777
Machinery manufacturing,CC822,5178.288168930157,5150.976945250191,27.311223679965224
Furniture manufacturing,CC911,4321.171812279279,4298.767964594059,22.40384768522017
Other manufacturing,CC912,3968.930709517216,3948.7961574708943,20.134552046321915
Electricity generation and on-selling,DD111,9146.630553870371,9100.590192692343,46.040361178027524
Electricity transmission and distribution,DD112,6371.453640964036,6336.861751669139,34.591889294896646
Gas and water supply,,4765.451961286213,4742.540914450583,22.91104683563026
Sewerage and drainage services,DD122,3859.841216371368,3840.7845377301433,19.056678641224607
"Waste collection, treatment, and disposal services",,4444.292161099032,4421.102832547035,23.18932855199637
Residential building construction,EE112,14120.621172656422,14044.482791537423,76.13838111899895
Non-residential building construction,EE113,12003.492711963103,11940.306394902098,63.18631706100496
Heavy and civil engineering construction,EE121,11869.340361403289,11804.66495102047,64.67541038281888
Construction services,EE131,17150.003441984456,17059.77833249273,90.22510949172647
Basic material wholesaling,FF111,7216.186929664125,7178.604679592563,37.58225007156216
Machinery and equipment wholesaling,FF112,7505.328874097304,7468.753374693238,36.57549940406625
"Motor vehicle wholesaling, including parts",,4191.536695977095,4170.76646623398,20.770229743115124
"Grocery, liquor, and tobacco product wholesaling",,7688.365552134024,7648.992264448966,39.37328768505813
Other goods and commission based wholesaling,,7307.3703141783735,7272.546213035013,34.82410114336017
