Description,NZSIOC,Original Output,Shocked Output,Loss
Horticulture and fruit growing,AA111,6164.277313992824,6142.900869491712,21.37644450111202
"Sheep, beef cattle, and grain farming",,7984.108416380915,7966.3231605736155,17.78525580729911
Dairy cattle farming,AA131,10395.10504895253,10376.72711582867,18.377933123860203
"Poultry, deer, and other livestock farming",,4968.636997335923,4956.876440590904,11.76055674501913
Forestry and logging,AA211,6758.945241876287,6745.0336232818845,13.91161859440217
Fishing and aquaculture,,4162.947025158909,4153.232260903629,9.714764255279988
"Agriculture, forestry, and fishing support services",,5908.587505082643,5886.471246275314,22.11625880732845
Coal mining,BB111,4248.744564981245,4239.102377991367,9.64218698987861
Oil and gas extraction,BB112,4506.667410980047,4500.206781480839,6.460629499208153
Metal ore and non-metallic mineral mining and quarrying,BB113,4053.9053129176573,4043.1678742868535,10.737438630803808
Exploration and other mining support services,BB114,4620.08736386429,4609.940678170746,10.146685693543986
Meat and meat product manufacturing,CC111,8596.119406828715,8570.814560048148,25.30484678056746
Seafood processing,CC121,4262.365639606111,4252.818295944762,9.54734366134835
Dairy product manufacturing,CC131,11851.736574976458,11831.588119198135,20.148455778322386
"Fruit, oil, cereal, and other food product manufacturing",,7393.895250126124,7374.8785989074695,19.01665121865426
Beverage and tobacco product manufacturing,CC151,6377.488029601834,6363.724392576674,13.763637025159369
Textile and leather manufacturing,CC211,5301.244798680549,5289.657847040133,11.586951640416373
"Clothing, knitted products, and footwear manufacturing",,3339.319301890554,3332.506810617141,6.812491273412888
Wood product manufacturing,CC311,6497.340506474585,6482.257271643581,15.08323483100412
"Pulp, paper, and converted paper product manufacturing",,6392.315005811093,6379.38458579876,12.930420012333343
Printing,CC411,4104.283253074512,4096.253086835361,8.030166239151185
Petroleum and coal product manufacturing,CC511,5177.256549031539,5169.636247664187,7.620301367352113
Basic chemical and basic polymer manufacturing,CC521,4467.180709560791,4460.504125973887,6.676583586903689
Fertiliser and pesticide manufacturing,CC522,4619.499294325011,4610.544153623589,8.955140701421442
"Pharmaceutical, cleaning, and other chemical manufacturing",,4904.879011463889,4894.237700885958,10.641310577931108
Polymer product and rubber product manufacturing,CC531,4823.438586556988,4813.953565642319,9.485020914669803
Non-metallic mineral product manufacturing,CC611,5457.816862303269,5446.366320727919,11.450541575350144
Primary metal and metal product manufacturing,CC711,6215.36910062153,6205.252432953799,10.116667667731235
Fabricated metal product manufacturing,CC721,6768.951426025005,6755.09307252601,13.858353498995712
Transport equipment manufacturing,CC811,3591.6965990462204,3583.5675606346913,8.129038411529109
Electronic and electrical equipment manufacturing,CC821,5018.87770570352,5009.569258588292,9.308447115228773
Machinery manufacturing,CC822,5178.288168930157,5166.190989070223,12.09717985993393
Furniture manufacturing,CC911,4321.171812279279,4311.967863096559,9.203949182719953
Other manufacturing,CC912,3968.930709517216,3960.999925771919,7.930783745297049
Electricity generation and on-selling,DD111,9146.630553870371,9138.830906279338,7.7996475910331355
Electricity transmission and distribution,DD112,6371.453640964036,6363.840988864901,7.612652099134721
Gas and water supply,,4765.451961286213,4759.565543737884,5.8864175483295185
Sewerage and drainage services,DD122,3859.841216371368,3852.291525002668,7.549691368699769
"Waste collection, treatment, and disposal services",,4444.292161099032,4434.1931852533235,10.098975845708082
Residential building construction,EE112,14120.621172656422,14081.818127643386,38.803045013035444
Non-residential building construction,EE113,12003.492711963103,11971.035796195418,32.45691576768513
Heavy and civil engineering construction,EE121,11869.340361403289,11837.38504595125,31.95531545203812
Construction services,EE131,17150.003441984456,17100.495174730226,49.508267254230304
Basic material wholesaling,FF111,7216.186929664125,7200.94097741107,15.245952253055293
Machinery and equipment wholesaling,FF112,7505.328874097304,7491.680214318604,13.648659778699766
"Motor vehicle wholesaling, including parts",,4191.536695977095,4183.6912506760345,7.845445301060863
"Grocery, liquor, and tobacco product wholesaling",,7688.365552134024,7671.34754486396,17.018007270064118
Other goods and commission based wholesaling,,7307.3703141783735,7295.135584668169,12.234729510204488
"Motor vehicle retailing, including parts",,4578.207995881194,4568.398675143428,9.80932073776603
Fuel retailing,GH112,3927.3612879152206,3918.4529701214597,8.908317793760943
Supermarket and grocery stores,GH121,5999.37751014531,5976.9867729246635,22.39073722064677
Specialised food retailing,GH122,3975.1323981283604,3965.9989038515923,9.133494276768033
"Furniture, electrical, and hardware retailing",,6154.958785869658,6139.037350692022,15.92143517763543
"Recreational, clothing, footwear, and personal accessory retailing",,5733.909376742771,5718.418195412406,15.49118133036518
Department stores,GH133,4880.405366772416,4869.923221452838,10.482145319577285
Pharmaceutical and other store based retailing,GH134,5624.490463507871,5610.541425165812,13.949038342058884
Non-store and commission based retailing,GH135,5198.519134694494,5189.926846428005,8.59228826648905
Accommodation,GH211,5918.1193569413435,5899.574617986467,18.544738954876266
