Description,NZSIOC,Original Output,Shocked Output,Output Loss
Horticulture and fruit growing,AA111,7004.048311799139,6970.897610400875,33.15070139826443
"Sheep, beef cattle, and grain farming",,9170.768871856195,9130.902781982559,39.86608987363662
Dairy cattle farming,AA131,12317.788763927345,12264.780787231783,53.00797669556233
"Poultry, deer, and other livestock farming",,4889.683628482485,4866.8505334667325,22.83309501575207
Forestry and logging,AA211,7724.059045052872,7685.977030083315,38.08201496955691
Fishing and aquaculture,,4091.190726280497,4068.5962651406276,22.594461139869463
"Agriculture, forestry, and fishing support services",,6688.321036497793,6657.424805508666,30.896230989126444
Coal mining,BB111,4241.3222224874635,4220.800142723089,20.522079764374542
Oil and gas extraction,BB112,4937.689732949785,4915.744362442742,21.945370507043148
Metal ore and non-metallic mineral mining and quarrying,BB113,4372.33772800718,4352.044157079578,20.29357092760171
Exploration and other mining support services,BB114,4849.214964566506,4825.116558443281,24.098406123225026
Meat and meat product manufacturing,CC111,9798.87978704646,9753.396128142957,45.483658903503816
Seafood processing,CC121,4319.5783650373405,4296.711369481555,22.866995555785934
Dairy product manufacturing,CC131,13868.134087467164,13812.31851289329,55.815574573875075
"Fruit, oil, cereal, and other food product manufacturing",,7913.509666113383,7875.300420040732,38.20924607265012
Beverage and tobacco product manufacturing,CC151,6529.068289645078,6498.663493169198,30.4047964758807
Textile and leather manufacturing,CC211,5473.559756779593,5447.240285958147,26.319470821446142
"Clothing, knitted products, and footwear manufacturing",,2836.931500071957,2822.8669325007,14.064567571257282
Wood product manufacturing,CC311,7169.7150410075255,7133.95236143074,35.76267957678533
"Pulp, paper, and converted paper product manufacturing",,6484.245492833766,6451.675804130299,32.56968870346577
Printing,CC411,4262.619994968813,4241.246290977228,21.373703991584755
Petroleum and coal product manufacturing,CC511,3147.252104226105,3129.0765931697965,18.17551105630829
Basic chemical and basic polymer manufacturing,CC521,4542.26693047101,4520.793257823926,21.473672647083603
Fertiliser and pesticide manufacturing,CC522,3923.433616932489,3903.799178986915,19.634437945573456
"Pharmaceutical, cleaning, and other chemical manufacturing",,4590.4670764809025,4567.328298302774,23.13877817812836
Polymer product and rubber product manufacturing,CC531,4785.741679851996,4762.154903519838,23.58677633215858
Non-metallic mineral product manufacturing,CC611,5650.449138205982,5622.566456897476,27.88268130850552
Primary metal and metal product manufacturing,CC711,5128.334965180321,5099.1237748598705,29.211190320450825
Fabricated metal product manufacturing,CC721,7030.60073773574,6993.1482325076495,37.45250522809126
Transport equipment manufacturing,CC811,2884.8653874072747,2869.6523737283824,15.213013678892402
Electronic and electrical equipment manufacturing,CC821,5335.657676389415,5308.55122561772,27.106450771695926
Machinery manufacturing,CC822,5176.439201239787,5149.329279400011,27.109921839775883
Furniture manufacturing,CC911,4193.555117320298,4172.45802188837,21.097095431928164
Other manufacturing,CC912,3594.3500567809133,3576.0189300461325,18.331126734780927
Electricity generation and on-selling,DD111,11024.39744454283,10969.528838229673,54.86860631315655
Electricity transmission and distribution,DD112,7683.091913514073,7646.203722355652,36.888191158420774
Gas and water supply,,5543.202336279218,5516.320723687093,26.881612592124117
Sewerage and drainage services,DD122,4275.883775993117,4254.801173604054,21.082602389062092
"Waste collection, treatment, and disposal services",,4934.456122653308,4909.795534098388,24.66058855491997
Residential building construction,EE112,16053.724855757862,15971.848638069394,81.87621768846866
Non-residential building construction,EE113,13136.261819290208,13069.231257399724,67.03056189048407
Heavy and civil engineering construction,EE121,13536.049676361974,13467.25864080928,68.79103555269475
Construction services,EE131,20191.022875912295,20088.10629365815,102.91658225414551
Basic material wholesaling,FF111,8166.626076754618,8125.284701122637,41.34137563198147
Machinery and equipment wholesaling,FF112,8892.560231079337,8848.140204888592,44.42002619074483
"Motor vehicle wholesaling, including parts",,4699.419589956939,4676.000904008015,23.41868594892406
"Grocery, liquor, and tobacco product wholesaling",,8893.095263001058,8847.959067328895,45.13619567216294
Other goods and commission based wholesaling,,8600.693105780974,8558.336482777104,42.35662300387026
"Motor vehicle retailing, including parts",,5256.059568129078,5229.158419004244,26.901149124834046
Fuel retailing,GH112,4254.003123284858,4233.169184469779,20.833938815078707
Supermarket and grocery stores,GH121,7241.6822941261125,7204.396096011458,37.28619811465454
Specialised food retailing,GH122,4538.299137089356,4515.844935064975,22.45420202438126
"Furniture, electrical, and hardware retailing",,7431.100458015154,7392.999177538299,38.10128047685459
"Recreational, clothing, footwear, and personal accessory retailing",,6745.869632669939,6711.90245420842,33.96717846151928
Department stores,GH133,5753.961240367419,5725.180907235611,28.780333131808096
Pharmaceutical and other store based retailing,GH134,6479.472935401279,6447.120761821122,32.35217358015671
Non-store and commission based retailing,GH135,5981.77606440332,5952.6918735433355,29.084190859983984
Accommodation,GH211,6700.231110954624,6668.193936091221,32.03717486340188
Food and beverage services,GH212,10506.312159158771,10453.874534577184,52.43762458158742
Road transport,II111,8728.1245518736,8683.409890603309,44.71466127029081
Rail transport,II121,4552.825305897448,4529.644958189159,23.180347708289148
Water transport,II122,4747.467659848234,4723.541831337641,23.925828510592325
Air and space transport,II123,6334.896459465397,6303.880994436425,31.015465028972514
Other transport,II125,3996.669785891083,3976.7517019305983,19.918083960484342
Postal and courier services,,5326.791466736431,5299.8721862417115,26.919280494720063
Transport support services,II132,9142.455764102364,9094.287149022246,48.16861508011747
Warehousing and storage services,II133,4873.22121557907,4849.2631597280315,23.95805585103906
Publishing (except internet and music publishing),JJ111,3675.1686877658753,3656.748155845472,18.42053192040322
Motion picture and sound recording activities,JJ112,5676.810256905273,5649.140770352118,27.66948655315443
Broadcasting and internet publishing,JJ113,5533.922387560929,5507.097238451638,26.82514910929075
Telecommunications services,JJ121,8542.483558059606,8502.003843834296,40.479714225311646
"Internet service providers, web search portals and data processing services",JJ122,4892.111959183672,4869.211230589955,22.900728593716572
Library and other information services,JJ123,2513.9298984284083,2501.321977223195,12.607921205213112
Banking and financing; financial asset investing,,15664.81216255381,15594.145528510795,70.6666340430154
Life insurance,KK121,5571.694868305497,5545.61056923464,26.084299070856897
Health and general insurance,KK122,7348.261219685574,7310.534634316428,37.72658536914665
Superannuation and individual pension services,,9299.118051301617,9255.243228594138,43.87482270747764
Auxiliary finance and insurance services,KK131,8366.589872878916,8326.695692417961,39.8941804609547
Rental and hiring services (except real estate),LL111,7048.541912633918,7013.636165926933,34.90574670698575
Non-financial asset leasing,LL112,4916.526705428321,4892.15774387888,24.368961549441455
Residential property operation,LL121,15508.231026909727,15431.354202025186,76.87682488454153
Non-residential property operation,LL122,15096.200144935774,15021.678058298889,74.522086636886
Real estate services,LL123,7149.572563982395,7114.496267905479,35.07629607691646
Owner-occupied property operation,,32675.563340477307,32662.01519360832,13.548146868985532
"Scientific, architectural, and engineering services",,13967.412897843402,13893.4189144969,73.9939833465021
Legal and accounting services,MN112,9239.155145046796,9192.760490822862,46.394654223933244
"Advertising, market research, and management services",,10988.154574930606,10935.61768799366,52.536886936947184
Veterinary and other professional services,MN114,2856.320285741255,2842.326724419199,13.993561322056284
Computer system design and related services,MN115,12344.376579642198,12285.852596221584,58.52398342061301
Travel agency and tour arrangement services,MN211,3363.1338455113314,3347.0579524846466,16.07589302668501
Employment and other administrative services,MN212,8952.88467098134,8906.846331564433,46.03833941690752
"Building cleaning, pest control, and other support services",,6688.309351795586,6654.419028804778,33.89032299080868
Local government administration services,,5239.614787969081,5213.438381288981,26.176406680100243
Central government administration services,,10914.338293924542,10862.395838476801,51.94245544774128
Defence,OO212,3570.4123896038145,3554.738680479607,15.673709124207363
"Public order, safety, and regulatory services",,9368.672906959198,9323.011865069042,45.661041890155865
Preschool education,PP111,3571.061618713863,3553.089561222055,17.972057491807885
School education,PP112,10025.021002306901,9974.035285545258,50.98571676164204
Tertiary education,PP113,8585.644582759069,8537.129638038485,48.51494472058284
"Adult, community, and other education",,5449.459797617487,5422.8032324004425,26.656565217044307
Hospitals,QQ111,13281.433024046564,13205.771261844706,75.66176220185972
Medical and other health care services,QQ112,11899.611747397354,11836.265778992169,63.34596840518548
Residential care services and social assistance,QQ113,8390.343260521227,8345.626093683859,44.71716683736887
Heritage and artistic activities,RS111,4410.2919016466985,4388.309460212538,21.982441434159522
Sport and recreation services,,6137.5073730136555,6107.358715358948,30.148657654707854
Gambling activities,RS113,4585.328564651015,4562.58176874204,22.746795908974633
Repair and maintenance,RS211,6971.247618761233,6936.10438483798,35.14323392325277
Personal services; domestic household staff,,5527.694210900674,5500.097172119261,27.59703878141378
"Religious services; civil, professional, and other interest groups",,6768.697372407328,6734.74089205471,33.95648035261796
