Description,NZSIOC,Original Output,Shocked Output,Output Loss
Horticulture and fruit growing,AA111,7004.048311799134,6991.303129735534,12.745182063600595
"Sheep, beef cattle, and grain farming",,9170.768871856199,9158.250529967348,12.518341888850294
Dairy cattle farming,AA131,12317.788763927343,12305.081581311453,12.707182615888604
"Poultry, deer, and other livestock farming",,4889.683628482485,4882.687487650156,6.996140832328319
Forestry and logging,AA211,7724.05904505287,7717.602284234912,6.456760817957155
Fishing and aquaculture,,4091.190726280498,4087.445674156578,3.745052123919981
"Agriculture, forestry, and fishing support services",,6688.321036497794,6675.7819901145995,12.539046383194972
Coal mining,BB111,4241.322222487463,4235.763476670675,5.558745816787656
Oil and gas extraction,BB112,4937.689732949786,4929.309214728653,8.380518221132466
Metal ore and non-metallic mineral mining and quarrying,BB113,4372.33772800718,4362.917334484101,9.420393523078841
Exploration and other mining support services,BB114,4849.214964566506,4840.123148293948,9.091816272558203
Meat and meat product manufacturing,CC111,9798.87978704646,9768.858053587865,30.02173345859612
Seafood processing,CC121,4319.5783650373405,4314.4104827643005,5.167882273040404
Dairy product manufacturing,CC131,13868.134087467173,13848.57973142277,19.554356044404184
"Fruit, oil, cereal, and other food product manufacturing",,7913.509666113383,7880.569434473568,32.940231639814016
Beverage and tobacco product manufacturing,CC151,6529.068289645076,6512.748680101362,16.31960954371422
Textile and leather manufacturing,CC211,5473.559756779595,5466.446213808466,7.113542971128394
"Clothing, knitted products, and footwear manufacturing",,2836.931500071957,2833.47719621869,3.4543038532672994
Wood product manufacturing,CC311,7169.715041007529,7149.136498753151,20.578542254378153
"Pulp, paper, and converted paper product manufacturing",,6484.245492833761,6470.987212707209,13.258280126551398
Printing,CC411,4262.619994968814,4253.367659671885,9.252335296929118
Petroleum and coal product manufacturing,CC511,3147.252104226106,3145.648881216605,1.6032230095011755
Basic chemical and basic polymer manufacturing,CC521,4542.26693047101,4536.927653239318,5.339277231691291
Fertiliser and pesticide manufacturing,CC522,3923.4336169324906,3918.7906293584915,4.642987573998764
"Pharmaceutical, cleaning, and other chemical manufacturing",,4590.467076480902,4582.3650450226905,8.102031458211044
Polymer product and rubber product manufacturing,CC531,4785.741679851995,4774.5275679653605,11.214111886634614
Non-metallic mineral product manufacturing,CC611,5650.449138205983,5641.848402935699,8.600735270284853
Primary metal and metal product manufacturing,CC711,5128.33496518032,5102.660056585286,25.674908595034275
Fabricated metal product manufacturing,CC721,7030.60073773574,6895.02591802214,135.5748197136002
Transport equipment manufacturing,CC811,2884.8653874072747,2881.379286277161,3.4861011301138385
Electronic and electrical equipment manufacturing,CC821,5335.6576763894145,5329.702049538225,5.955626851189467
Machinery manufacturing,CC822,5176.439201239787,5163.402124702258,13.037076537527954
Furniture manufacturing,CC911,4193.555117320298,4179.671723073786,13.883394246513175
