Description,NZSIOC,Original Output,Shocked Output,Loss
Horticulture and fruit growing,AA111,6164.277313992824,6154.379688622432,9.897625370392234
"Sheep, beef cattle, and grain farming",,7984.108416380915,7971.32029273325,12.788123647664179
Dairy cattle farming,AA131,10395.10504895253,10379.312312024218,15.79273692831157
"Poultry, deer, and other livestock farming",,4968.636997335923,4960.491353192072,8.145644143851314
Forestry and logging,AA211,6758.945241876287,6747.981193566566,10.964048309720965
Fishing and aquaculture,,4162.947025158909,4156.857296674056,6.089728484853367
"Agriculture, forestry, and fishing support services",,5908.587505082643,5898.801124864443,9.786380218199156
Coal mining,BB111,4248.744564981245,4241.723912454056,7.020652527189668
Oil and gas extraction,BB112,4506.667410980047,4499.300793213894,7.366617766152558
Metal ore and non-metallic mineral mining and quarrying,BB113,4053.9053129176573,4047.6495400746458,6.255772843011528
Exploration and other mining support services,BB114,4620.08736386429,4612.699556453896,7.387807410394089
Meat and meat product manufacturing,CC111,8596.119406828715,8582.826962394485,13.292444434229765
Seafood processing,CC121,4262.365639606111,4256.304336989571,6.061302616539251
Dairy product manufacturing,CC131,11851.736574976458,11832.109622803324,19.62695217313376
"Fruit, oil, cereal, and other food product manufacturing",,7393.895250126124,7382.137864658445,11.757385467678432
Beverage and tobacco product manufacturing,CC151,6377.488029601834,6367.184863990538,10.303165611295299
Textile and leather manufacturing,CC211,5301.244798680549,5292.64692350245,8.597875178099457
"Clothing, knitted products, and footwear manufacturing",,3339.319301890554,3333.9303484100856,5.3889534804684445
Wood product manufacturing,CC311,6497.340506474585,6487.076748691106,10.263757783478468
"Pulp, paper, and converted paper product manufacturing",,6392.315005811093,6381.23447217996,11.080533631133221
Printing,CC411,4104.283253074512,4097.59491015457,6.688342919941533
Petroleum and coal product manufacturing,CC511,5177.256549031539,5168.345004093099,8.911544938439874
Basic chemical and basic polymer manufacturing,CC521,4467.180709560791,4459.706169201711,7.474540359079583
Fertiliser and pesticide manufacturing,CC522,4619.499294325011,4611.802490313561,7.696804011449785
"Pharmaceutical, cleaning, and other chemical manufacturing",,4904.879011463889,4896.892462983149,7.986548480739657
Polymer product and rubber product manufacturing,CC531,4823.438586556988,4815.208314443328,8.230272113660249
Non-metallic mineral product manufacturing,CC611,5457.816862303269,5449.076308875319,8.740553427949635
Primary metal and metal product manufacturing,CC711,6215.36910062153,6205.164422814478,10.204677807052576
Fabricated metal product manufacturing,CC721,6768.951426025005,6757.683464734321,11.26796129068407
Transport equipment manufacturing,CC811,3591.6965990462204,3585.9752763723723,5.721322673848135
Electronic and electrical equipment manufacturing,CC821,5018.87770570352,5010.849095520465,8.028610183055207
Machinery manufacturing,CC822,5178.288168930157,5169.900778115552,8.38739081460426
Furniture manufacturing,CC911,4321.171812279279,4314.196641323012,6.975170956266993
Other manufacturing,CC912,3968.930709517216,3962.385198630313,6.54551088690323
Electricity generation and on-selling,DD111,9146.630553870371,9129.751244716204,16.87930915416655
Electricity transmission and distribution,DD112,6371.453640964036,6361.9971965250625,9.456444438973449
Gas and water supply,,4765.451961286213,4757.289072830188,8.16288845602503
Sewerage and drainage services,DD122,3859.841216371368,3853.4553672583743,6.385849112993583
"Waste collection, treatment, and disposal services",,4444.292161099032,4436.987920336313,7.304240762718109
Residential building construction,EE112,14120.621172656422,14097.82552569835,22.795646958071302
Non-residential building construction,EE113,12003.492711963103,11984.229454553764,19.26325740933862
Heavy and civil engineering construction,EE121,11869.340361403289,11850.717646565612,18.62271483767654
Construction services,EE131,17150.003441984456,17122.065681628705,27.93776035575138
Basic material wholesaling,FF111,7216.186929664125,7204.6225449731555,11.564384690969746
Machinery and equipment wholesaling,FF112,7505.328874097304,7493.2520917397305,12.076782357573393
"Motor vehicle wholesaling, including parts",,4191.536695977095,4184.558286861406,6.9784091156898285
"Grocery, liquor, and tobacco product wholesaling",,7688.365552134024,7676.405476916238,11.960075217786653
